[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:03:02 - 00:03:04]   이리와 괜찮아 임마 잡아
[00:03:04 - 00:03:06]   잡아 두손으로 그렇지
[00:03:06 - 00:03:09]   야 경찰을 때리면 어떡하냐 그것도 등기로
[00:03:10 - 00:03:11]   예?
[00:03:11 - 00:03:13]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:14 - 00:03:15]   정당방위다
[00:03:19 - 00:03:22]   말로해 말로 말로 말로 말로
[00:03:23 - 00:03:25]   똑바로 앉아 똑바로 앉아 임마
[00:03:31 - 00:03:33]   힘들지? 타고가
[00:03:34 - 00:03:35]   물 줘?
[00:03:39 - 00:03:41]   나 서울가면 할일 많거든
[00:03:41 - 00:03:43]   그냥 타고가자
[00:03:47 - 00:03:49]   빨리 갑시다
[00:03:49 - 00:03:53]   그래 니 친구들하고 같이 타고가면 얼마나 좋아
[00:03:55 - 00:03:56]   가자
[00:03:56 - 00:04:01]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:04:01 - 00:04:03]   조태오 조태오
[00:04:03 - 00:04:05]   혹시 제가 아는 신진물산
[00:04:05 - 00:04:07]   아 왜그러세요
[00:04:07 - 00:04:09]   모는 자리인데 그냥 자수 편하게 받으세요
[00:04:09 - 00:04:11]   근데 윤사장하고는 어떻게 해야 돼
[00:04:11 - 00:04:15]   조실장 미국 유학생활할 때 다혜랑 촬영갔다 만나가지고 신세 많이 졌지
[00:04:15 - 00:04:18]   아이고 밥 한판 산거가지고
[00:04:18 - 00:04:20]   아시겠지만 나 이제 훨씬 어려워
[00:04:24 - 00:04:26]   재벌하고 술을 다 마셔보고
[00:04:27 - 00:04:29]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:49 - 00:04:50]   그만해
[00:04:57 - 00:04:59]   재벌은 이렇게 놀아야 되나?
[00:05:07 - 00:05:08]   죄송합니다
[00:05:09 - 00:05:13]   재벌이 이렇게 밖에 못놉니다 용서해주십쇼
[00:05:19 - 00:05:23]   아 우리 형사님 안 속이시네
[00:05:23 - 00:05:25]   베테랑이시네 베테랑
[00:05:25 - 00:05:27]   아 멋있다
[00:05:27 - 00:05:28]   창피해
[00:05:32 - 00:05:34]   아우 놀랐지
[00:05:35 - 00:05:38]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:40 - 00:05:43]   윤사장 조태오씨 재밌게 사시네
[00:05:44 - 00:05:47]   태오씨 근데
[00:05:47 - 00:05:49]   재는 짓고 살지 맙시다
[00:05:51 - 00:05:52]   짠 할까요?
[00:05:58 - 00:05:59]   왜 안나와서 그런다고
[00:06:01 - 00:06:02]   다 어렵습니다
[00:06:03 - 00:06:06]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:06 - 00:06:09]   올해 감기가 제일 안좋다는 말을 한번도 안 빼먹고 들었어요
[00:06:10 - 00:06:11]   그래서 내가 죽었나요?
[00:06:11 - 00:06:13]   안죽었잖아
[00:06:16 - 00:06:17]   야
[00:06:18 - 00:06:19]   너 저거 갖고 싶구나
[00:06:21 - 00:06:22]   뭐
[00:06:23 - 00:06:25]   그래서 얘인게 얼마라고요?
[00:06:26 - 00:06:28]   아 네 순서대로 말씀드리면
[00:06:29 - 00:06:31]   총액만 불러요 총액만
[00:06:33 - 00:06:34]   고맙습니다 해야지
[00:06:34 - 00:06:36]   고맙습니다
[00:06:36 - 00:06:38]   좀 되는데요 420
[00:06:38 - 00:06:39]   4?
[00:06:40 - 00:06:41]   420억?
[00:06:42 - 00:06:43]   아니요
[00:06:45 - 00:06:46]   420만?
[00:06:50 - 00:06:51]   기사님
[00:06:53 - 00:06:55]   맷돌 손잡이 알아요?
[00:06:56 - 00:06:58]   맷돌 손잡이를 어휘라 그래요 어휘
[00:06:59 - 00:07:00]   어휘
[00:07:01 - 00:07:02]   어휘
[00:07:03 - 00:07:04]   어휘
[00:07:04 - 00:07:06]   맷돌 손잡이를 어휘라 그래요 어휘
[00:07:07 - 00:07:11]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:12 - 00:07:13]   손잡이가 빠졌네
[00:07:14 - 00:07:16]   이런 상황을 어휘가 없다 그래요
[00:07:16 - 00:07:20]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:21 - 00:07:23]   지금 내 기분이 그래
[00:07:24 - 00:07:25]   어휘가 없네
