[00:00:00 - 00:00:02]   장비를 꺼내 아줌마 빨리
[00:03:05 - 00:03:08]   경찰을 때리면 어떡하냐 그것도 등기로
[00:03:09 - 00:03:10]   예?
[00:03:10 - 00:03:12]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:12 - 00:03:14]   정당방위다
[00:03:15 - 00:03:16]   이 새끼가
[00:03:18 - 00:03:21]   말로 해 말로 말로 말로 말로
[00:03:21 - 00:03:22]   놔 놔 놔
[00:03:22 - 00:03:23]   똑바로 앉아
[00:03:23 - 00:03:24]   똑바로 앉아 인마
[00:03:29 - 00:03:30]   힘들지?
[00:03:31 - 00:03:32]   타고가
[00:03:32 - 00:03:33]   물 줘?
[00:03:37 - 00:03:39]   나 서울가면 할일 많거든
[00:03:39 - 00:03:41]   그냥 타고가자
[00:03:46 - 00:03:47]   갑시다
[00:03:47 - 00:03:48]   그래
[00:03:48 - 00:03:51]   네 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:52 - 00:03:53]   가자
[00:03:54 - 00:03:58]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:03:58 - 00:04:00]   조태오 조태오
[00:04:00 - 00:04:02]   혹시 제가 아는 신진물산
[00:04:02 - 00:04:03]   왜 그러세요
[00:04:04 - 00:04:06]   노는 자리인데 그냥 잡수사장이 받으세요
[00:04:06 - 00:04:08]   근데 윤사장으로는 어떻게 해야 돼?
[00:04:08 - 00:04:12]   조실장 미국 유학생활할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지
[00:04:13 - 00:04:15]   밥 한판 산거 가지고
[00:04:15 - 00:04:17]   아시겠지만 나이 이제 훨씬 더 어려워
[00:04:19 - 00:04:23]   내가 재벌하고 술을 다 마셔보고
[00:04:24 - 00:04:26]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:45 - 00:04:46]   그만해
[00:04:48 - 00:04:49]   그만해
[00:04:53 - 00:04:55]   재벌은 이렇게 놀아야 되나?
[00:05:03 - 00:05:04]   죄송합니다
[00:05:05 - 00:05:07]   재벌이 이렇게 밖에 못 놉니다
[00:05:07 - 00:05:09]   용서해 주십시오
[00:05:15 - 00:05:17]   우리 용사님 안 속으시네
[00:05:17 - 00:05:19]   베테랑이시네 베테랑
[00:05:19 - 00:05:21]   아 멋있다
[00:05:21 - 00:05:22]   창피해
[00:05:25 - 00:05:27]   아우 몰랐지
[00:05:28 - 00:05:32]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:33 - 00:05:34]   윤사장
[00:05:34 - 00:05:36]   조태오 씨 재밌게 사시네
[00:05:39 - 00:05:40]   태오 씨
[00:05:40 - 00:05:41]   근데
[00:05:42 - 00:05:44]   재는 짓고 살지 맙시다
[00:05:45 - 00:05:46]   짠 할까요?
[00:05:48 - 00:05:49]   네
[00:05:51 - 00:05:53]   왜 안나와서 그런다고
[00:05:54 - 00:05:56]   다 어렵습니다
[00:05:56 - 00:06:00]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:00 - 00:06:03]   올해 감기가 잘 안좋다는 말을 한번도 안 빼놓고 들었어요
[00:06:03 - 00:06:05]   그래서 내가 죽었나요?
[00:06:06 - 00:06:08]   안 죽었잖아
[00:06:11 - 00:06:12]   야
[00:06:12 - 00:06:14]   너 저거 갖고 싶구나
[00:06:15 - 00:06:16]   뭐
[00:06:17 - 00:06:19]   그래서 내 인기 얼마라고요?
[00:06:20 - 00:06:22]   아 네 순서대로 말씀드리면
[00:06:23 - 00:06:25]   총액만 불러요 총액만
[00:06:27 - 00:06:29]   고맙습니다 해야지
[00:06:29 - 00:06:30]   고맙습니다
[00:06:35 - 00:06:37]   좀 되는데요 420
[00:06:37 - 00:06:38]   4?
[00:06:38 - 00:06:39]   420억?
[00:06:40 - 00:06:41]   아니요
[00:06:42 - 00:06:43]   420만?
[00:06:48 - 00:06:49]   기사님
[00:06:51 - 00:06:53]   맷돌 손잡이 알아요?
[00:06:54 - 00:06:56]   맷돌 손잡이를 어휘라 그래요 어휘
[00:06:57 - 00:07:01]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:01 - 00:07:03]   손잡이가 빠졌네
[00:07:04 - 00:07:06]   이런 상황을 어이가 없다 그래요
[00:07:06 - 00:07:10]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:11 - 00:07:13]   지금 내 기분이 그래
[00:07:13 - 00:07:15]   어이가 없네
