[00:00:00 - 00:00:02]   장비를 꺼내야지 마 빨리
[00:05:56 - 00:05:57]   다 어렵습니다
[00:05:58 - 00:06:03]   나는 어릴때부터 매년 올해 감기가 제일 지독하고 올해 감기가 제일 심하고
[00:06:03 - 00:06:05]   그래서 내가 죽었나요?
[00:06:05 - 00:06:07]   안죽었잖아
[00:06:10 - 00:06:13]   야 너 저거 갖고 싶구나
[00:06:16 - 00:06:18]   그래서 내 인기 얼마라고요?
[00:06:19 - 00:06:21]   아 네 저 순서로 말씀드리면
[00:06:22 - 00:06:24]   총애비가 4만원이예요
[00:06:25 - 00:06:27]   총애비가 4만원이예요
[00:06:28 - 00:06:30]   총애비가 4만원이예요
[00:06:30 - 00:06:32]   자 순서로 말씀드리면
[00:06:33 - 00:06:35]   총애비만 불러요 총애비만
[00:06:36 - 00:06:38]   고맙습니다 해야지
[00:06:38 - 00:06:39]   고맙습니다
[00:06:44 - 00:06:46]   좀 되는데요 420
[00:06:46 - 00:06:49]   4..420원?
[00:06:50 - 00:06:51]   아니요
[00:06:52 - 00:06:53]   420만?
[00:06:54 - 00:06:55]   아니요
[00:06:57 - 00:06:58]   기사님
[00:07:00 - 00:07:02]   맷돌 손잡이 알아요?
[00:07:03 - 00:07:05]   맷돌 손잡이를 어휘라 그래요 어휘
[00:07:06 - 00:07:10]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:11 - 00:07:12]   손잡이가 빠졌네
[00:07:13 - 00:07:15]   이런 상황을 어휘가 없다 그래요
[00:07:15 - 00:07:19]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:19 - 00:07:22]   지금 내 기분이 그래 어이가 없네
