[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:03:08 - 00:03:09]   예?
[00:03:09 - 00:03:11]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:11 - 00:03:13]   정당방위다
[00:03:14 - 00:03:15]   이 새끼가
[00:03:17 - 00:03:20]   말로 해 말로 말로 말로 말로
[00:03:20 - 00:03:21]   놔 놔 놔
[00:03:21 - 00:03:22]   똑바로 앉아
[00:03:22 - 00:03:23]   똑바로 앉아 인마
[00:03:28 - 00:03:29]   힘들지?
[00:03:30 - 00:03:31]   타고 가
[00:03:31 - 00:03:32]   물 줘?
[00:03:36 - 00:03:38]   나 그 서울 가면 할 일 많거든
[00:03:38 - 00:03:40]   그냥 타고 가자
[00:03:45 - 00:03:46]   갑시다
[00:03:47 - 00:03:48]   그래
[00:03:48 - 00:03:51]   너희 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:52 - 00:03:53]   가자
[00:03:54 - 00:03:58]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:03:58 - 00:04:00]   조태오 조태오
[00:04:00 - 00:04:02]   혹시 제가 아는 신진물산
[00:04:02 - 00:04:03]   아 왜 그러세요
[00:04:04 - 00:04:06]   모는 자리인데 그냥 자수하던지 받으세요
[00:04:06 - 00:04:08]   근데 윤 사장으로는 어떻게 해야 돼?
[00:04:08 - 00:04:12]   조 실장 미국 유학생활 할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지
[00:04:12 - 00:04:15]   아이고 밥 한판 산 거 가지고
[00:04:15 - 00:04:17]   아시겠지만 나이 이제 훨씬 더 어려워
[00:04:19 - 00:04:23]   내가 재벌하고 술을 다 마셔보고
[00:04:24 - 00:04:26]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:46 - 00:04:47]   그만해
[00:04:49 - 00:04:50]   그만해
[00:04:54 - 00:04:56]   재벌은 이렇게 놀아야 되나?
[00:05:04 - 00:05:05]   죄송합니다
[00:05:06 - 00:05:08]   재벌이 이렇게 밖에 못 놉니다
[00:05:08 - 00:05:10]   용서해 주십시오
[00:05:18 - 00:05:20]   아 우리 형사님 안 속이시네
[00:05:20 - 00:05:22]   베테랑이시네 베테랑
[00:05:22 - 00:05:24]   아 멋있다
[00:05:24 - 00:05:25]   창피해
[00:05:28 - 00:05:30]   아우 아우 놀랐지
[00:05:31 - 00:05:35]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:37 - 00:05:40]   윤 사장 조태오 씨 재밌게 사시네
[00:05:43 - 00:05:45]   태오 씨 근데
[00:05:46 - 00:05:47]   재는 짓고 살지 맙시다
[00:05:49 - 00:05:50]   짠 할까요?
[00:05:56 - 00:05:57]   왜 안 나와서 그런다고
[00:05:59 - 00:06:01]   다 어렵습니다
[00:06:01 - 00:06:04]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:04 - 00:06:07]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:08 - 00:06:09]   그래서 내가 죽었나요?
[00:06:10 - 00:06:12]   안 죽었잖아
[00:06:15 - 00:06:16]   야
[00:06:16 - 00:06:17]   저거 갖고 싶구나
[00:06:21 - 00:06:23]   그래서 내 인기 얼마라고요?
[00:06:24 - 00:06:26]   아 네 순서대로 말씀드리면
[00:06:27 - 00:06:29]   총액만 불러요 총액만
[00:06:31 - 00:06:32]   고맙습니다 해야지
[00:06:32 - 00:06:33]   고맙습니다
[00:06:38 - 00:06:40]   좀 되는데요 420
[00:06:40 - 00:06:43]   4... 420억?
[00:06:44 - 00:06:45]   아니요
[00:06:46 - 00:06:47]   420만?
[00:06:52 - 00:06:53]   기사님
[00:06:55 - 00:06:57]   맷돌 손잡이 알아요?
[00:06:58 - 00:07:00]   맷돌 손잡이를 어희라 그래요 어희
[00:07:01 - 00:07:05]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:05 - 00:07:07]   손잡이가 빠졌네
[00:07:08 - 00:07:10]   이런 상황을 어희가 없다 그래요
[00:07:10 - 00:07:14]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:14 - 00:07:19]   지금 내 기분이 그래 어이가 없네
