[00:00:00 - 00:00:02]   당귤 꺼내 아줌마 빨리
[00:03:11 - 00:03:13]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:13 - 00:03:15]   정당방위다
[00:03:16 - 00:03:17]   이 씨발놈의 새끼가
[00:03:19 - 00:03:22]   말로해 말로 말로 말로 말로
[00:03:23 - 00:03:25]   똑바로 앉아 똑바로 앉아
[00:03:30 - 00:03:32]   힘들지? 타고가
[00:03:33 - 00:03:34]   물 줘?
[00:03:38 - 00:03:40]   나 그 서울가면 할일 많거든
[00:03:40 - 00:03:42]   그냥 타고가자
[00:03:47 - 00:03:48]   빨리 갑시다
[00:03:48 - 00:03:52]   그래 니 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:54 - 00:03:55]   가자
[00:03:56 - 00:04:00]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:04:00 - 00:04:02]   조태오 조태오
[00:04:02 - 00:04:04]   혹시 제가 아는 신진물산
[00:04:04 - 00:04:05]   아 왜 그러세요
[00:04:05 - 00:04:08]   모는 자리인데 그냥 잔판하게 받으세요
[00:04:08 - 00:04:10]   근데 윤사장으로는 어떻게 해야 돼
[00:04:10 - 00:04:14]   조실장 미국 유학생활 할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지
[00:04:14 - 00:04:16]   아이고 밥 한판 산거 가지고
[00:04:16 - 00:04:18]   아시겠지만 나이 이제 훨씬 더 어려워
[00:04:21 - 00:04:24]   제가 재벌하고 술을 다 마셔보고
[00:04:25 - 00:04:27]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:47 - 00:04:48]   그만해
[00:04:55 - 00:04:57]   재벌은 이렇게 놀아야 되나?
[00:05:05 - 00:05:06]   죄송합니다
[00:05:07 - 00:05:09]   재벌이 이렇게 밖에 못 놉니다
[00:05:09 - 00:05:10]   용서해 주십시오
[00:05:11 - 00:05:13]   아 우리 형사님 안 속이시네
[00:05:13 - 00:05:15]   베테랑이시네 베테랑
[00:05:15 - 00:05:17]   아 멋있다
[00:05:17 - 00:05:18]   창피해
[00:05:21 - 00:05:23]   아우 아우 놀랐지
[00:05:24 - 00:05:28]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:30 - 00:05:31]   아이고
[00:05:32 - 00:05:33]   아이고
[00:05:34 - 00:05:35]   아이고
[00:05:36 - 00:05:37]   아이고
[00:05:37 - 00:05:40]   할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:42 - 00:05:43]   윤사장
[00:05:43 - 00:05:45]   존태호씨 재밌게 사시네
[00:05:48 - 00:05:49]   태호씨
[00:05:49 - 00:05:50]   근데
[00:05:51 - 00:05:53]   재는 짓고 살지 맙시다
[00:05:54 - 00:05:55]   짠 할까요?
[00:06:01 - 00:06:03]   안 나와서 그런다고
[00:06:04 - 00:06:06]   다 어렵습니다
[00:06:06 - 00:06:08]   그동안 매년 올해 감기가 제일 지독하고
[00:06:08 - 00:06:11]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:12 - 00:06:13]   그래서 내가 죽었나요?
[00:06:14 - 00:06:16]   안 죽었잖아
[00:06:19 - 00:06:20]   야
[00:06:20 - 00:06:22]   너 저거 갖고 싶구나
[00:06:23 - 00:06:24]   뭐
[00:06:25 - 00:06:26]   그래서
[00:06:26 - 00:06:27]   내 인기 얼마라고요?
[00:06:28 - 00:06:30]   아 네 저 순전히 말씀드리면
[00:06:31 - 00:06:33]   총액만 불러요 총액만
[00:06:34 - 00:06:36]   고맙습니다 해야지
[00:06:36 - 00:06:37]   고맙습니다
[00:06:42 - 00:06:43]   좀 되는데요
[00:06:43 - 00:06:44]   420
[00:06:44 - 00:06:45]   4
[00:06:46 - 00:06:47]   420억?
[00:06:48 - 00:06:49]   아니요
[00:06:50 - 00:06:51]   420만?
[00:06:56 - 00:06:57]   기사님
[00:06:59 - 00:07:01]   맷돌 손잡이 알아요?
[00:07:02 - 00:07:04]   맷돌 손잡이를 어이가 그래요 어이
[00:07:05 - 00:07:09]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:10 - 00:07:11]   손잡이가 빠졌네
[00:07:12 - 00:07:14]   이런 상황을 어이가 없다 그래요
[00:07:14 - 00:07:15]   황당하잖아
[00:07:15 - 00:07:18]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:19 - 00:07:21]   지금 내 기분이 그래
[00:07:22 - 00:07:23]   어이가 없네
