[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:06:07 - 00:06:08]   그래서 내가 죽었나요?
[00:06:09 - 00:06:11]   안 죽었잖아.
[00:06:14 - 00:06:15]   야.
[00:06:16 - 00:06:17]   너 저거 갖고 싶구나.
[00:06:18 - 00:06:19]   뭐?
[00:06:20 - 00:06:22]   그래서 내 인기 얼마라고요?
[00:06:23 - 00:06:25]   아, 네. 순서대로 말씀드리면...
[00:06:26 - 00:06:27]   미치겠다. 미치겠다.
[00:06:27 - 00:06:28]   총액만 불러요, 총액만.
[00:06:30 - 00:06:32]   고맙습니다. 해야지.
[00:06:32 - 00:06:33]   고맙습니다.
[00:06:38 - 00:06:39]   좀 되는데요.
[00:06:39 - 00:06:40]   420...
[00:06:40 - 00:06:41]   4...
[00:06:41 - 00:06:43]   420억?
[00:06:43 - 00:06:44]   아니요.
[00:06:44 - 00:06:45]   420만?
[00:06:50 - 00:06:51]   기사님.
[00:06:53 - 00:06:54]   맷돌 손잡이 알아요?
[00:06:56 - 00:06:58]   맷돌 손잡이를 어휘라 그래요. 어휘.
[00:06:59 - 00:07:03]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:03 - 00:07:05]   손잡이가 빠졌네.
[00:07:06 - 00:07:08]   이런 상황을 어휘가 없다 그래요.
[00:07:08 - 00:07:09]   황당하잖아.
[00:07:09 - 00:07:12]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까.
[00:07:12 - 00:07:14]   지금 내 기분이 그래.
[00:07:14 - 00:07:16]   어이가 없네.
