[00:00:00 - 00:00:01]   장비를 꺼내, 아줌마, 빨리.
[00:05:42 - 00:05:43]   짠 할까요?
[00:05:49 - 00:05:50]   안 나와서 그런다고.
[00:05:52 - 00:05:54]   다 어렵습니다.
[00:05:54 - 00:06:00]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고 올해 감기가 제일 어려워.
[00:06:00 - 00:06:02]   다 어렵습니다.
[00:06:02 - 00:06:08]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고 올해 감기가 제일 안 좋다는 말을 한 번도 안 빼먹고 들었어요.
[00:06:09 - 00:06:10]   그래서 내가 죽었나요?
[00:06:11 - 00:06:13]   안 죽었잖아.
[00:06:16 - 00:06:19]   야, 너 저거 갖고 싶구나.
[00:06:22 - 00:06:24]   그래서, 내 인기 얼마라고요?
[00:06:25 - 00:06:27]   아, 네. 저 순순히 말씀드리면...
[00:06:28 - 00:06:30]   총액만 불러요, 총액만.
[00:06:32 - 00:06:33]   고맙습니다 해야지.
[00:06:34 - 00:06:35]   고맙습니다.
[00:06:40 - 00:06:42]   좀 되는데요. 420.
[00:06:42 - 00:06:44]   4... 420억?
[00:06:45 - 00:06:46]   아니요.
[00:06:48 - 00:06:49]   420만?
[00:06:54 - 00:06:55]   기사님.
[00:06:57 - 00:06:58]   맷돌 손잡이 알아요?
[00:07:00 - 00:07:02]   맷돌 손잡이를 어의라 그래요. 어의.
[00:07:03 - 00:07:09]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데 손잡이가 빠졌네.
[00:07:10 - 00:07:12]   이런 상황을 어이가 없다 그래요.
[00:07:12 - 00:07:16]   황당하잖아. 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까.
[00:07:17 - 00:07:21]   지금 내 기분이 그래. 어이가 없네.
