[00:00:00 - 00:00:02]   당귤 꺼내 아줌마 빨리
[00:05:47 - 00:05:50]   윤사장 졸태호씨 재미있게 사시네
[00:05:53 - 00:05:55]   태호씨 근데
[00:05:56 - 00:05:58]   재는 짓고 살지 맙시다
[00:05:59 - 00:06:00]   짠 할까요?
[00:06:08 - 00:06:09]   왜 안나와서 그런다고
[00:06:11 - 00:06:13]   다 어렵습니다
[00:06:13 - 00:06:16]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:16 - 00:06:19]   올해 감기가 제일 안좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:20 - 00:06:21]   그래서 내가 죽었나요?
[00:06:22 - 00:06:24]   안 죽었잖아
[00:06:28 - 00:06:29]   야
[00:06:29 - 00:06:31]   어떤 거 갖고 싶냐?
[00:06:34 - 00:06:36]   그래서 내 인기 얼마라고요?
[00:06:38 - 00:06:40]   아 네 순선으로 말씀드리면
[00:06:41 - 00:06:43]   총액만 불러요 총액만
[00:06:45 - 00:06:47]   고맙습니다 해야지
[00:06:47 - 00:06:48]   고맙습니다
[00:06:53 - 00:06:55]   좀 되는데요 420
[00:06:55 - 00:06:56]   4?
[00:06:56 - 00:06:58]   420억?
[00:06:58 - 00:06:59]   아니요
[00:07:01 - 00:07:02]   420만?
[00:07:07 - 00:07:08]   기사님
[00:07:10 - 00:07:12]   맷돌 손잡이 알아요?
[00:07:13 - 00:07:15]   맷돌 손잡이를 어의라 그래요 어의
[00:07:16 - 00:07:20]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:21 - 00:07:22]   손잡이가 빠졌네
[00:07:23 - 00:07:25]   이런 상황을 어이가 없다 그래요
[00:07:25 - 00:07:26]   황당하잖아
[00:07:26 - 00:07:29]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:31 - 00:07:33]   지금 내 기분이 그래
[00:07:34 - 00:07:35]   어이가 없네
