[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:04:45 - 00:04:46]   그만해
[00:04:53 - 00:04:55]   재벌은 이렇게 놀아야 되나?
[00:05:03 - 00:05:04]   죄송합니다
[00:05:05 - 00:05:07]   재벌이 이렇게 밖에 못 놉니다
[00:05:07 - 00:05:09]   용서해 주십시오
[00:05:15 - 00:05:17]   아 우리 형사님 안 속이시네
[00:05:18 - 00:05:19]   베테랑이시네 베테랑
[00:05:20 - 00:05:21]   아 멋있다
[00:05:21 - 00:05:22]   창피해
[00:05:26 - 00:05:27]   아우 놀랐지
[00:05:29 - 00:05:32]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:34 - 00:05:36]   윤사장 조태오 씨 재밌게 사시네
[00:05:37 - 00:05:39]   태오 씨 근데
[00:05:40 - 00:05:42]   재는 짓고 살지 맙시다
[00:05:43 - 00:05:44]   짠 할까요?
[00:05:50 - 00:05:51]   왜 안 나와서 그런다고
[00:05:53 - 00:05:54]   다 어렵습니다
[00:05:55 - 00:05:58]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:05:58 - 00:06:01]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:02 - 00:06:03]   그래서 내가 죽었나요?
[00:06:03 - 00:06:04]   안 죽었잖아
[00:06:08 - 00:06:09]   야
[00:06:09 - 00:06:10]   너 저거 갖고 싶구나
[00:06:12 - 00:06:13]   뭐
[00:06:14 - 00:06:15]   그래서
[00:06:15 - 00:06:16]   내 인기 얼마라고요?
[00:06:17 - 00:06:19]   아 네 순전히 말씀드리면
[00:06:20 - 00:06:21]   미치겠다 미치겠다
[00:06:21 - 00:06:22]   총액만 불러요 총액만
[00:06:24 - 00:06:26]   고맙습니다 해야지
[00:06:26 - 00:06:27]   고맙습니다
[00:06:27 - 00:06:28]   아이고
[00:06:29 - 00:06:30]   아이고
[00:06:31 - 00:06:32]   좀 되는데요
[00:06:32 - 00:06:33]   420
[00:06:33 - 00:06:34]   4...
[00:06:35 - 00:06:36]   420억?
[00:06:37 - 00:06:38]   아니요
[00:06:39 - 00:06:40]   420만?
[00:06:44 - 00:06:45]   기사님
[00:06:47 - 00:06:48]   맷돌 손잡이 알아요?
[00:06:50 - 00:06:52]   맷돌 손잡이를 어휘라 그래요 어휘
[00:06:53 - 00:06:55]   맷돌에 뭘 갈려고 집어넣고
[00:06:56 - 00:06:57]   맷돌에 뭘 갈려고
[00:06:58 - 00:07:00]   맷돌에 뭘 갈려고 집어넣고
[00:07:00 - 00:07:02]   맷돌을 돌리려고 하는데
[00:07:03 - 00:07:04]   손잡이가 빠졌네
[00:07:05 - 00:07:07]   이런 상황을 어이가 없다 그래요
[00:07:07 - 00:07:08]   황당하잖아
[00:07:08 - 00:07:11]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:12 - 00:07:14]   지금 내 기분이 그래
[00:07:15 - 00:07:16]   어이가 없네
