[00:00:00 - 00:00:02]   장비를 꺼내야지, 빨리!
[00:05:14 - 00:05:16]   아, 우리 형사님 안 속이시네
[00:05:16 - 00:05:18]   베테랑이시네 베테랑
[00:05:18 - 00:05:20]   아, 멋있다!
[00:05:20 - 00:05:21]   창피해!
[00:05:24 - 00:05:26]   아우, 아우 놀랐지
[00:05:27 - 00:05:31]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:32 - 00:05:33]   윤 사장
[00:05:33 - 00:05:34]   우리 조태오 형이
[00:05:34 - 00:05:35]   우리 조태오 형이
[00:05:35 - 00:05:36]   우리 조태오 형이
[00:05:36 - 00:05:37]   우리 조태오 형이
[00:05:37 - 00:05:38]   우리 조태오 형이
[00:05:38 - 00:05:39]   우리 조태오 형이
[00:05:39 - 00:05:40]   우리 조태오 형이
[00:05:40 - 00:05:41]   우리 조태오 형이
[00:05:41 - 00:05:42]   우리 조태오 형이
[00:05:42 - 00:05:45]   윤 사장, 조태오 씨 재미있게 사시네
[00:05:48 - 00:05:50]   태오 씨, 근데
[00:05:51 - 00:05:53]   재는 짓고 살지 맙시다
[00:05:54 - 00:05:55]   짠 할까요?
[00:06:04 - 00:06:06]   다 어렵습니다
[00:06:06 - 00:06:09]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:09 - 00:06:12]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:13 - 00:06:14]   그래서 내가 죽었나요?
[00:06:15 - 00:06:17]   안 죽었잖아
[00:06:20 - 00:06:23]   야, 너 저거 갖고 싶구나
[00:06:24 - 00:06:25]   뭐?
[00:06:26 - 00:06:28]   그래서, 내 인기 얼마라고요?
[00:06:30 - 00:06:32]   아, 네, 순선으로 말씀드리면
[00:06:33 - 00:06:35]   총액만 불러요, 총액만
[00:06:37 - 00:06:38]   고맙습니다 해야지
[00:06:38 - 00:06:39]   고맙습니다
[00:06:44 - 00:06:45]   좀 되는데요
[00:06:45 - 00:06:46]   420
[00:06:46 - 00:06:47]   4...
[00:06:48 - 00:06:49]   420억?
[00:06:50 - 00:06:51]   아니요
[00:06:52 - 00:06:53]   420만?
[00:06:58 - 00:06:59]   기사님
[00:07:01 - 00:07:03]   맷돌 손잡이 알아요?
[00:07:04 - 00:07:06]   맷돌 손잡이를 어휘라 그래요, 어휘
[00:07:06 - 00:07:10]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:11 - 00:07:12]   손잡이가 빠졌네
[00:07:13 - 00:07:15]   이런 상황을 어휘가 없다 그래요
[00:07:16 - 00:07:19]   황당하잖아, 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:20 - 00:07:22]   지금 내 기분이 그래
[00:07:23 - 00:07:24]   어휘가 없네
