[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:06:17 - 00:06:20]   아 네 순서대로 말씀드리면
[00:06:21 - 00:06:23]   총액만 불러요 총액만
[00:06:24 - 00:06:26]   고맙습니다 해야지
[00:06:26 - 00:06:27]   고맙습니다
[00:06:32 - 00:06:34]   좀 되는데요 420
[00:06:34 - 00:06:35]   4?
[00:06:35 - 00:06:36]   420억?
[00:06:38 - 00:06:39]   아니요
[00:06:40 - 00:06:41]   420만?
[00:06:46 - 00:06:47]   기사님
[00:06:48 - 00:06:50]   맷돌 손잡이 알아요?
[00:06:51 - 00:06:53]   맷돌 손잡이를 어휘라 그래요 어휘
[00:06:54 - 00:06:58]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:06:58 - 00:07:00]   손잡이가 빠졌네
[00:07:00 - 00:07:02]   이런 상황을 어휘가 없다 그래요
[00:07:02 - 00:07:06]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:07 - 00:07:10]   지금 내 기분이 그래 어이가 없네
