[00:00:00 - 00:00:01]   담배를 꺼내 아줌마, 빨리
[00:03:01 - 00:03:02]   괜찮아, 임마, 잡아
[00:03:02 - 00:03:03]   잡아, 두 손으로
[00:03:03 - 00:03:04]   그렇지
[00:03:04 - 00:03:06]   야, 경찰을 때리면 어떡하냐
[00:03:06 - 00:03:07]   그것도 등기로
[00:03:08 - 00:03:09]   네?
[00:03:09 - 00:03:10]   그 증금을 일단 내려놓고
[00:03:10 - 00:03:11]   내려놔, 빨리
[00:03:12 - 00:03:13]   정당방위다, 이 새끼야
[00:03:14 - 00:03:15]   이 씨발놈의 새끼가
[00:03:16 - 00:03:17]   말로 해, 말로
[00:03:17 - 00:03:19]   말로, 말로, 말로
[00:03:21 - 00:03:22]   똑바로 앉아
[00:03:22 - 00:03:23]   똑바로 앉아, 임마
[00:03:28 - 00:03:29]   힘들지?
[00:03:29 - 00:03:30]   타고 가
[00:03:31 - 00:03:32]   물 줘?
[00:03:36 - 00:03:38]   나 서울 가면 할 일 많거든
[00:03:38 - 00:03:40]   그냥 타고 가자
[00:03:45 - 00:03:46]   갑시다
[00:03:46 - 00:03:50]   그래, 네 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:51 - 00:03:52]   가자
[00:03:53 - 00:03:55]   신진물산 부사장으로 승진하실
[00:03:55 - 00:03:57]   조태오 기획 조정실장
[00:03:57 - 00:03:59]   조태오, 조태오
[00:03:59 - 00:04:01]   혹시 제가 아는 신진물산
[00:04:01 - 00:04:02]   아, 왜 그러세요
[00:04:03 - 00:04:05]   모는 자리인데 그냥 잔판하게 받으세요
[00:04:05 - 00:04:07]   근데 윤 사장으로는 어떻게 해야 돼?
[00:04:07 - 00:04:09]   조 실장 미국 유학생활할 때
[00:04:09 - 00:04:11]   다혜랑 촬영 갔다 만나가지고 신세 많이 졌지
[00:04:12 - 00:04:14]   밥 한 방에 산 거 가지고
[00:04:15 - 00:04:17]   아시겠지만 난 이제 훨씬 더 어려워
[00:04:21 - 00:04:23]   재벌하고 술을 다 마셔보고
[00:04:24 - 00:04:26]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:45 - 00:04:46]   그만해
[00:04:53 - 00:04:55]   재벌은 이렇게 놀아야 되나?
[00:05:03 - 00:05:04]   죄송합니다
[00:05:05 - 00:05:07]   재벌이 이렇게 밖에 못 놉니다
[00:05:07 - 00:05:09]   용서해 주십시오
[00:05:16 - 00:05:18]   아, 우리 형사님 안 속이시네
[00:05:19 - 00:05:20]   베테랑이시네 베테랑
[00:05:21 - 00:05:22]   아, 멋있다
[00:05:22 - 00:05:23]   창피해
[00:05:27 - 00:05:28]   아, 놀랐지
[00:05:30 - 00:05:33]   우리 할아버지가 사람은 간더미 보고 사귀라고 그랬거든요
[00:05:35 - 00:05:38]   윤 사장, 조태오 씨 재미있게 사시네
[00:05:41 - 00:05:43]   태오 씨, 근데
[00:05:43 - 00:05:45]   재능 짓고 살지 맙시다
[00:05:47 - 00:05:48]   짠 할까요?
[00:05:54 - 00:05:55]   왜 안 나와서 그런다고
[00:05:57 - 00:05:58]   다 어렵습니다
[00:05:59 - 00:06:02]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:02 - 00:06:05]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:06 - 00:06:07]   그래서 내가 죽었나요?
[00:06:08 - 00:06:10]   안 죽었잖아
[00:06:14 - 00:06:17]   야, 너 저거 갖고 싶구나
[00:06:18 - 00:06:19]   뭐?
[00:06:20 - 00:06:22]   그래서, 내 인기 얼마라고요?
[00:06:23 - 00:06:25]   아, 네, 순서대로 말씀드리면...
[00:06:26 - 00:06:28]   총액만 불러요, 총액만
[00:06:30 - 00:06:31]   고맙습니다 해야지
[00:06:32 - 00:06:33]   고맙습니다
[00:06:38 - 00:06:40]   좀 되는데요, 420...
[00:06:40 - 00:06:42]   4... 420억?
[00:06:43 - 00:06:44]   아니요
[00:06:45 - 00:06:46]   420만?
[00:06:51 - 00:06:52]   기사님
[00:06:54 - 00:06:55]   맷돌 손잡이 알아요?
[00:06:57 - 00:06:59]   맷돌 손잡이를 어휘라 그래요, 어휘
[00:07:00 - 00:07:04]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:05 - 00:07:06]   손잡이가 빠졌네
[00:07:07 - 00:07:09]   이런 상황을 어휘가 없다 그래요
[00:07:10 - 00:07:13]   황당하잖아, 아무것도 아닌 손잡이 때문에 해야 할 일을 못하니까
[00:07:15 - 00:07:16]   지금 내 기분이 그래
[00:07:18 - 00:07:19]   어이가 없네
