[00:00:00 - 00:00:02]   장비를 꺼내 아줌마 빨리
[00:03:07 - 00:03:10]   그 징금을 일단 내려놓고. 내려놔, 빨리
[00:03:10 - 00:03:11]   정당방위다, 이씨
[00:03:15 - 00:03:18]   말로해, 말로! 말로! 말로! 말로!
[00:03:19 - 00:03:22]   똑바로 앉아. 똑바로 앉아, 인마
[00:03:27 - 00:03:31]   힘들지? 타고가. 물 줘?
[00:03:32 - 00:03:33]   네
[00:03:35 - 00:03:39]   나 서울가면 할일 많거든. 그냥 타고가자
[00:03:44 - 00:03:45]   빨리 갑시다
[00:03:45 - 00:03:49]   그래, 니 친구들하고 같이 타고가면 얼마나 좋아
[00:03:51 - 00:03:52]   가자
[00:03:52 - 00:03:57]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:03:57 - 00:03:59]   조태오, 조태오
[00:03:59 - 00:04:01]   혹시 제가 아는 신진물산
[00:04:01 - 00:04:02]   아, 왜그러세요?
[00:04:02 - 00:04:04]   모는 자리인데 그냥 잔판하게 받으세요
[00:04:04 - 00:04:06]   근데 윤사장하고는 어떡해요?
[00:04:06 - 00:04:11]   조실장 미국 유학생활할때 다혜랑 촬영갔다 만나가지고 신세 많이 졌지
[00:04:11 - 00:04:16]   밥 한판 산거가지고 아시겠지만 나이 이제 훨씬 어려워
[00:04:19 - 00:04:22]   재벌하고 술을 다 마셔보고
[00:04:22 - 00:04:25]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:42 - 00:04:43]   그만해
[00:04:50 - 00:04:52]   재벌은 이렇게 놀아야 되나?
[00:04:59 - 00:05:04]   죄송합니다. 재벌은 이렇게 밖에 못놉니다. 용서해주십시오
[00:05:12 - 00:05:14]   아, 우리 형사님 안 속이시네
[00:05:14 - 00:05:16]   베테랑이시네 베테랑
[00:05:16 - 00:05:18]   아, 멋있다
[00:05:18 - 00:05:19]   창피해
[00:05:23 - 00:05:24]   아, 놀랐지
[00:05:25 - 00:05:29]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:30 - 00:05:33]   윤사장, 조태오씨 재미있게 사시네
[00:05:34 - 00:05:36]   태오씨, 근데
[00:05:37 - 00:05:39]   재는 짓고 살지 맙시다
[00:05:40 - 00:05:41]   짠 할까요?
[00:05:46 - 00:05:47]   왜 안나와서 그런다고
[00:05:49 - 00:05:50]   다 어렵습니다
[00:05:51 - 00:05:54]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:05:54 - 00:05:57]   올해 감기가 제일 안좋다는 말을 한번도 안 빼놓고 들었어요
[00:05:58 - 00:05:59]   그래서 내가 죽었나요?
[00:05:59 - 00:06:00]   안죽었잖아
[00:06:04 - 00:06:06]   야, 너 저거 갖고 싶구나
[00:06:08 - 00:06:09]   뭐?
[00:06:10 - 00:06:12]   그래서, 내 인기 얼마라고요?
[00:06:13 - 00:06:15]   아, 네. 순서대로 말씀드리면
[00:06:16 - 00:06:17]   미치겠네 미치겠네
[00:06:17 - 00:06:19]   총인만 불러요, 총인만
[00:06:20 - 00:06:22]   고맙습니다, 해야지
[00:06:22 - 00:06:23]   고맙습니다
[00:06:24 - 00:06:26]   좀 되는데요, 420...
[00:06:27 - 00:06:28]   420억?
[00:06:29 - 00:06:30]   아니요
[00:06:31 - 00:06:32]   420만?
[00:06:36 - 00:06:37]   기사님
[00:06:38 - 00:06:40]   맷돌 손잡이 알아요?
[00:06:41 - 00:06:43]   맷돌 손잡이를 어휘라 그래요, 어휘
[00:06:44 - 00:06:45]   맷돌에 뭘 감기지
[00:06:46 - 00:06:47]   맷돌 손잡이
[00:06:48 - 00:06:49]   맷돌 손잡이
[00:06:50 - 00:06:51]   맷돌 손잡이
[00:06:51 - 00:06:52]   어휘라 그래요, 어휘
[00:06:53 - 00:06:56]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:06:57 - 00:06:58]   손잡이가 빠졌네
[00:06:59 - 00:07:01]   이런 상황을 어휘가 없다 그래요
[00:07:01 - 00:07:02]   황당하잖아
[00:07:02 - 00:07:05]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:06 - 00:07:07]   지금 내 기분이 그래
[00:07:08 - 00:07:09]   어휘가 없네
