[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:05:46 - 00:05:48]   쟤는 짓고 살지 맙시다
[00:05:48 - 00:05:50]   짠할까요?
[00:05:58 - 00:06:00]   왜 안나와서 그런다고
[00:06:00 - 00:06:02]   다 어렵습니다
[00:06:02 - 00:06:04]   나는 어릴 때부터
[00:06:04 - 00:06:06]   매년 올해 감기가 제일 지독하고
[00:06:06 - 00:06:08]   올해 감기가 제일 안좋다는 말을
[00:06:08 - 00:06:10]   한번도 안 빼먹고 들었어요
[00:06:10 - 00:06:12]   그래서 내가 죽었나요
[00:06:12 - 00:06:14]   안 죽었잖아
[00:06:16 - 00:06:18]   야
[00:06:18 - 00:06:20]   너 저거 갖고 싶구나
[00:06:20 - 00:06:22]   뭐
[00:06:22 - 00:06:24]   그래서
[00:06:24 - 00:06:26]   내 인기 얼마라고요?
[00:06:26 - 00:06:28]   아 네 순서대로 말씀드릴게요
[00:06:28 - 00:06:30]   미치겠네 미치겠네
[00:06:30 - 00:06:32]   총액만 불러요 총액만
[00:06:32 - 00:06:34]   고맙습니다 해야지
[00:06:34 - 00:06:36]   고맙습니다
[00:06:40 - 00:06:42]   좀 되는데요
[00:06:42 - 00:06:44]   420
[00:06:44 - 00:06:46]   420억?
[00:06:46 - 00:06:48]   아니요
[00:06:48 - 00:06:50]   420만?
[00:06:54 - 00:06:56]   기사님
[00:06:58 - 00:07:00]   맷돌 손잡이 알아요?
[00:07:00 - 00:07:02]   맷돌 손잡이를 어희라 그래요
[00:07:04 - 00:07:06]   맷돌에 뭘 갈려고 집어넣고
[00:07:06 - 00:07:08]   맷돌을 돌리려고 하는데
[00:07:08 - 00:07:10]   손잡이가 빠졌네
[00:07:10 - 00:07:12]   이런 상황을 어이가 없다 그래요
[00:07:12 - 00:07:14]   황당하잖아
[00:07:14 - 00:07:16]   아무것도 아닌 손잡이 때문에
[00:07:16 - 00:07:18]   해야 될 일을 못하니까
[00:07:18 - 00:07:20]   지금 내 기분이 그래
[00:07:20 - 00:07:22]   어이가 없네
