[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:03:19 - 00:03:21]   말로, 말로, 말로.
[00:03:22 - 00:03:23]   똑바로 앉아.
[00:03:23 - 00:03:24]   똑바로 앉아, 임마.
[00:03:29 - 00:03:30]   힘들지?
[00:03:30 - 00:03:32]   타고 가.
[00:03:32 - 00:03:33]   물 줘.
[00:03:34 - 00:03:35]   감사합니다.
[00:03:37 - 00:03:39]   나 서울 가면 할 일 많거든.
[00:03:39 - 00:03:41]   그냥 타고 가자.
[00:03:46 - 00:03:47]   빨리 갑시다.
[00:03:47 - 00:03:51]   그래, 니 친구들하고 같이 타고 가면 얼마나 좋아.
[00:03:53 - 00:03:54]   가자.
[00:03:54 - 00:03:59]   신진물산 부사장으로 승진하실 조태오 기획 조정실장.
[00:03:59 - 00:04:01]   조태오, 조태오.
[00:04:01 - 00:04:03]   혹시 제가 아는 신진물산...
[00:04:03 - 00:04:04]   아, 왜 그러세요.
[00:04:04 - 00:04:06]   모는 자리인데 그냥 자수 편하게 받으세요.
[00:04:06 - 00:04:08]   근데 윤 사장하고는 어떻게 해야 돼?
[00:04:08 - 00:04:13]   조 실장 미국 유학생활할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지.
[00:04:13 - 00:04:16]   밥 한 그릇 산 거 가지고...
[00:04:16 - 00:04:18]   아시겠지만 나 이제 훨씬 어려워.
[00:04:22 - 00:04:24]   재벌하고 술을 다 마셔보고.
[00:04:24 - 00:04:27]   근데 재벌은 좀 다르게 놀 줄 알았는데.
[00:04:44 - 00:04:45]   그만해.
[00:04:53 - 00:04:55]   재벌은 이렇게 놀아야 되나?
[00:05:02 - 00:05:04]   죄송합니다.
[00:05:04 - 00:05:06]   재벌이 이렇게 밖에 못 놉니다.
[00:05:06 - 00:05:08]   용서해 주십시오.
[00:05:14 - 00:05:17]   아, 우리 용사님 안 속으시네.
[00:05:17 - 00:05:19]   베테랑이시네, 베테랑.
[00:05:19 - 00:05:21]   아, 멋있다.
[00:05:21 - 00:05:22]   창피해.
[00:05:25 - 00:05:27]   아, 놀랐지.
[00:05:28 - 00:05:32]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요.
[00:05:33 - 00:05:36]   윤 사장, 조태오 씨 재미있게 사시네.
[00:05:36 - 00:05:38]   태오 씨, 근데...
[00:05:39 - 00:05:41]   재는 짓고 살지 맙시다.
[00:05:42 - 00:05:43]   짠 할까요?
[00:05:48 - 00:05:49]   왜 안 나와서 그런다고.
[00:05:51 - 00:05:53]   다 어렵습니다.
[00:05:53 - 00:05:57]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:05:57 - 00:06:00]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요.
[00:06:01 - 00:06:02]   그래서 내가 죽었나요?
[00:06:02 - 00:06:04]   안 죽었잖아.
[00:06:07 - 00:06:09]   야, 너 저거 갖고 싶구나.
[00:06:12 - 00:06:14]   그래서, 내 인기 얼마라고요?
[00:06:15 - 00:06:17]   아, 네. 순서대로 말씀드리면...
[00:06:19 - 00:06:21]   총액만 불러요, 총액만.
[00:06:23 - 00:06:24]   고맙습니다 해야지.
[00:06:24 - 00:06:26]   고맙습니다.
[00:06:27 - 00:06:29]   고맙습니다 해야지.
[00:06:29 - 00:06:30]   고맙습니다.
[00:06:35 - 00:06:37]   좀 되는데요. 420...
[00:06:37 - 00:06:39]   4... 420억?
[00:06:40 - 00:06:41]   아니요.
[00:06:42 - 00:06:43]   420만?
[00:06:48 - 00:06:52]   기사님, 맷돌 손잡이 알아요?
[00:06:52 - 00:06:54]   맷돌 손잡이를 어의라 그래요. 어의.
[00:06:55 - 00:06:59]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:06:59 - 00:07:01]   손잡이가 빠졌네.
[00:07:02 - 00:07:04]   이런 상황을 어이가 없다 그래요.
[00:07:04 - 00:07:08]   황당하잖아. 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까.
[00:07:09 - 00:07:12]   지금 내 기분이 그래. 어이가 없네.
