[00:00:00 - 00:00:02]   당귤 꺼내 아줌마 빨리
[00:04:59 - 00:05:01]   재벌은 이렇게 놀아야 되나?
[00:05:11 - 00:05:12]   죄송합니다
[00:05:13 - 00:05:15]   재벌은 이렇게 밖에 못 놉니다
[00:05:15 - 00:05:17]   용서해 주십시오
[00:05:22 - 00:05:26]   아 우리 형사님 안 속이시네
[00:05:26 - 00:05:28]   베테랑이시네 베테랑
[00:05:28 - 00:05:30]   아 멋있다
[00:05:30 - 00:05:31]   창피해
[00:05:34 - 00:05:36]   아우 놀랐지
[00:05:38 - 00:05:41]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:43 - 00:05:44]   윤사장
[00:05:44 - 00:05:46]   조태오 씨 재밌게 사시네
[00:05:46 - 00:05:49]   조태오 씨 근데
[00:05:49 - 00:05:51]   재는 짓고 살지 맙시다
[00:05:53 - 00:05:54]   짠 할까요?
[00:06:01 - 00:06:02]   왜 안나와서 그런다고
[00:06:04 - 00:06:06]   다 어렵습니다
[00:06:06 - 00:06:10]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:10 - 00:06:13]   올해 감기가 잘 안좋다는 말을 한번도 안 빼먹고 들었어요
[00:06:13 - 00:06:15]   그래서 내가 죽었나요?
[00:06:15 - 00:06:17]   안 죽었잖아
[00:06:21 - 00:06:22]   야
[00:06:22 - 00:06:24]   너 저거 갖고 싶구나
[00:06:28 - 00:06:30]   그래서 내 인기 얼마라고요?
[00:06:31 - 00:06:33]   아 네 순서로 말씀드리면
[00:06:34 - 00:06:36]   총액만 불러요 총액만
[00:06:38 - 00:06:39]   고맙습니다 해야지
[00:06:40 - 00:06:42]   고맙습니다 해야지
[00:06:42 - 00:06:43]   고맙습니다
[00:06:48 - 00:06:49]   좀 되는데요
[00:06:49 - 00:06:50]   420
[00:06:50 - 00:06:51]   4?
[00:06:52 - 00:06:53]   420억?
[00:06:54 - 00:06:55]   아니요
[00:06:56 - 00:06:57]   420만?
[00:07:02 - 00:07:03]   기사님
[00:07:05 - 00:07:07]   맥돌 손잡이 알아요?
[00:07:08 - 00:07:10]   맥돌 손잡이를 어이가 그래요 어이
[00:07:11 - 00:07:15]   맥돌에 뭘 갈려고 집어넣고 맥돌을 돌리려고 하는데
[00:07:16 - 00:07:17]   손잡이가 빠졌네
[00:07:18 - 00:07:20]   이런 상황을 어이가 없다 그래요
[00:07:20 - 00:07:21]   황당하잖아
[00:07:21 - 00:07:24]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:26 - 00:07:27]   지금 내 기분이 그래
[00:07:29 - 00:07:30]   어이가 없네
