[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:02:52 - 00:02:55]   아 얘 이거 사람 때리고 싶어서 형사되가지고 걸쭈아픈데 진짜
[00:02:58 - 00:02:59]   일루와
[00:02:59 - 00:03:01]   괜찮아 잡아 두손으로
[00:03:02 - 00:03:05]   경찰을 때리면 어떡하냐 그것도 등기로
[00:03:06 - 00:03:07]   예
[00:03:07 - 00:03:09]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:10 - 00:03:11]   정당방위다
[00:03:15 - 00:03:18]   말로해 말로 말로 말로 말로
[00:03:20 - 00:03:22]   똑바로 앉아 똑바로 앉아
[00:03:22 - 00:03:23]   네
[00:03:26 - 00:03:28]   힘들지? 타고가
[00:03:29 - 00:03:30]   물줘?
[00:03:34 - 00:03:36]   나 그 서울가면 할일 많거든
[00:03:36 - 00:03:38]   그냥 타고가자 어?
[00:03:42 - 00:03:44]   빨리 빨리 갑시다
[00:03:44 - 00:03:45]   그래
[00:03:45 - 00:03:48]   저기 너 친구들하고 같이 타고가면 얼마나 좋아
[00:03:49 - 00:03:50]   가자
[00:03:51 - 00:03:55]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:03:55 - 00:03:57]   조태오 조태오
[00:03:57 - 00:03:59]   저 혹시 제가 아는 신진물산
[00:03:59 - 00:04:00]   아 왜그러세요
[00:04:01 - 00:04:03]   모는 자리인데 그냥 잔판하게 받으세요
[00:04:03 - 00:04:05]   근데 윤사장하고는 어떡해요
[00:04:05 - 00:04:09]   조실장 미국 유학생활할때 다혜랑 촬영갔다 만나가지고 신세 많이 졌지
[00:04:09 - 00:04:12]   아유 밥 한판 산거가지고
[00:04:12 - 00:04:14]   아시겠지만 나이 이제 훨씬 더 어려워
[00:04:15 - 00:04:18]   내가 재벌하고 술을 다 마셔보고
[00:04:19 - 00:04:21]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:41 - 00:04:42]   그만해
[00:04:42 - 00:04:43]   그만해
[00:04:50 - 00:04:52]   재벌은 이렇게 놀아야 되나?
[00:05:00 - 00:05:01]   죄송합니다
[00:05:02 - 00:05:04]   재벌이 이렇게 밖에 못놉니다
[00:05:04 - 00:05:06]   용서해주십쇼
[00:05:13 - 00:05:15]   아 우리 형사님 안 속이시네
[00:05:15 - 00:05:17]   베테랑이시네 베테랑
[00:05:17 - 00:05:19]   아 멋있다
[00:05:19 - 00:05:20]   창피해
[00:05:23 - 00:05:25]   아우 놀랐지
[00:05:26 - 00:05:30]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:31 - 00:05:34]   윤사장 조태오씨 재밌게 사시네
[00:05:37 - 00:05:39]   태오씨 근데
[00:05:40 - 00:05:42]   재는 짓고 살지 맙시다
[00:05:43 - 00:05:44]   짠 할까요?
[00:05:49 - 00:05:51]   왜 안나와서 그런다고
[00:05:52 - 00:05:54]   다 어렵습니다
[00:05:54 - 00:06:01]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고 올해 감기가 제일 안좋다는 말을 한번도 안 빼먹고 들었어요
[00:06:01 - 00:06:03]   그래서 내가 죽었나요?
[00:06:04 - 00:06:06]   안 죽었잖아
[00:06:06 - 00:06:07]   야
[00:06:08 - 00:06:10]   어쩌고 가고 싶구나
[00:06:13 - 00:06:15]   그래서 내 인기 얼마라고요?
[00:06:16 - 00:06:18]   아 네 순서대로 말씀드릴게요
[00:06:19 - 00:06:21]   총액만 불러요 총액만
[00:06:23 - 00:06:25]   고맙습니다 해야지
[00:06:25 - 00:06:26]   고맙습니다
[00:06:31 - 00:06:33]   좀 되는데요 420
[00:06:33 - 00:06:34]   4?
[00:06:34 - 00:06:35]   420억?
[00:06:36 - 00:06:37]   아니요
[00:06:38 - 00:06:39]   420만?
[00:06:45 - 00:06:46]   기사님
[00:06:47 - 00:06:49]   맷돌 손잡이 알아요?
[00:06:50 - 00:06:52]   맷돌 손잡이를 어휘라 그래요 어휘
[00:06:53 - 00:06:57]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:06:58 - 00:06:59]   손잡이가 빠졌네
[00:07:00 - 00:07:02]   이런 상황을 어휘가 없다 그래요
[00:07:02 - 00:07:05]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:07 - 00:07:09]   지금 내 기분이 그래
[00:07:10 - 00:07:11]   어휘가 없네
