[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:03:13 - 00:03:15]   말로 해, 말로.
[00:03:15 - 00:03:16]   말로, 말로, 말로.
[00:03:16 - 00:03:18]   놔, 놔, 놔.
[00:03:18 - 00:03:19]   똑바로 앉아.
[00:03:19 - 00:03:20]   똑바로 앉아, 이놈아.
[00:03:24 - 00:03:25]   힘들지?
[00:03:25 - 00:03:27]   타고 가.
[00:03:27 - 00:03:28]   물 줘?
[00:03:32 - 00:03:34]   나 서울 가면 할 일 많거든.
[00:03:34 - 00:03:36]   그냥 타고 가자.
[00:03:41 - 00:03:42]   갑시다, 가.
[00:03:42 - 00:03:43]   그래.
[00:03:43 - 00:03:47]   네 친구들하고 같이 타고 가면 얼마나 좋아.
[00:03:47 - 00:03:48]   가자.
[00:03:49 - 00:03:53]   신진물산 부사장으로 승진하실 조태오 기획 조정실장.
[00:03:53 - 00:03:54]   조태오.
[00:03:54 - 00:03:55]   조태오.
[00:03:55 - 00:03:57]   혹시 제가 아는 신진물산...
[00:03:57 - 00:03:58]   왜 그러세요.
[00:03:58 - 00:04:01]   노는 자리인데 그냥 자수하던지 받으세요.
[00:04:01 - 00:04:03]   근데 윤 사장으로는 어떻게 해야 돼?
[00:04:03 - 00:04:07]   조 실장 미국 유학생활할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지.
[00:04:07 - 00:04:10]   밥 한 그릇 산 거 가지고.
[00:04:10 - 00:04:12]   아시겠지만 나이 이제 훨씬 더 어려워.
[00:04:15 - 00:04:18]   재벌하고 술을 다 마셔보고.
[00:04:18 - 00:04:21]   야, 근데 재벌은 좀 다르게 놀 줄 알았는데.
[00:04:40 - 00:04:41]   그만해.
[00:04:48 - 00:04:50]   재벌은 이렇게 놀아야 되나?
[00:04:57 - 00:04:59]   죄송합니다.
[00:04:59 - 00:05:01]   재벌이 이렇게 밖에 못 놉니다.
[00:05:01 - 00:05:03]   용서해 주십시오.
[00:05:09 - 00:05:11]   아, 우리 형사님 안 속이시네.
[00:05:11 - 00:05:13]   베테랑이시네, 베테랑.
[00:05:13 - 00:05:15]   아, 멋있다.
[00:05:15 - 00:05:16]   창피해.
[00:05:19 - 00:05:21]   아, 몰랐지.
[00:05:22 - 00:05:26]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요.
[00:05:27 - 00:05:30]   윤 사장, 졸태호 씨 재미있게 사시네.
[00:05:33 - 00:05:37]   태호 씨, 근데 재는 짓고 살지 맙시다.
[00:05:39 - 00:05:40]   짠 할까요?
[00:05:45 - 00:05:46]   안 나와서 그런다고.
[00:05:48 - 00:05:49]   다 어렵습니다.
[00:05:50 - 00:05:53]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:05:53 - 00:05:56]   올해 감기가 제일 안 좋다는 말을 한 번도 안 빼먹고 들었어요.
[00:05:57 - 00:05:58]   그래서 내가 죽었나요?
[00:05:59 - 00:06:01]   안 죽었잖아.
[00:06:04 - 00:06:06]   야, 너 저거 갖고 싶구나.
[00:06:09 - 00:06:11]   그래서 내 인기 얼마라고요?
[00:06:13 - 00:06:15]   아, 네. 저 순수한 말씀만.
[00:06:16 - 00:06:17]   총액만 불러요, 총액만.
[00:06:19 - 00:06:21]   고맙습니다 해야지.
[00:06:21 - 00:06:22]   고맙습니다.
[00:06:27 - 00:06:29]   좀 되는데요. 420.
[00:06:29 - 00:06:32]   4... 420억?
[00:06:32 - 00:06:33]   아니요.
[00:06:34 - 00:06:35]   420만?
[00:06:37 - 00:06:38]   아니요.
[00:06:40 - 00:06:41]   기사님.
[00:06:43 - 00:06:45]   맷돌 손잡이 알아요?
[00:06:46 - 00:06:48]   맷돌 손잡이를 어이가 그래요. 어이.
[00:06:49 - 00:06:53]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:06:54 - 00:06:55]   손잡이가 빠졌네.
[00:06:56 - 00:06:58]   이런 상황을 어이가 없다 그래요.
[00:06:58 - 00:06:59]   황당하잖아.
[00:06:59 - 00:07:01]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까.
[00:07:03 - 00:07:04]   지금 내 기분이 그래.
[00:07:06 - 00:07:07]   어이가 없네.
