[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:03:33 - 00:03:36]   힘들지? 타고 가
[00:03:36 - 00:03:37]   물 줘?
[00:03:41 - 00:03:43]   나 그 서울 가면 할 일 많거든
[00:03:43 - 00:03:45]   그냥 타고 가자
[00:03:45 - 00:03:46]   어?
[00:03:50 - 00:03:51]   갑시다 가
[00:03:51 - 00:03:53]   그래
[00:03:53 - 00:03:56]   니 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:57 - 00:03:58]   가자
[00:03:59 - 00:04:01]   신진물산 부사장으로 승진하실
[00:04:01 - 00:04:03]   조태오 기획 조정실장
[00:04:03 - 00:04:05]   조태오 조태오
[00:04:05 - 00:04:07]   저 혹시 제가 아는 신진물산
[00:04:07 - 00:04:09]   아 왜 그러세요
[00:04:09 - 00:04:11]   노는 자리인데 그냥 장판하게 받으세요
[00:04:11 - 00:04:13]   근데 윤사장하고는 어떻게 해야 돼
[00:04:13 - 00:04:14]   조 실장 미국 유학생활 할 때
[00:04:14 - 00:04:17]   다혜랑 촬영 갔다 만나가지고 신세 많이 졌지
[00:04:17 - 00:04:20]   아이고 밥 한판 산거 가지고
[00:04:20 - 00:04:22]   아시겠지만 나이 이제 훨씬 어려워
[00:04:22 - 00:04:23]   뭐?
[00:04:25 - 00:04:28]   제가 재벌하고 술을 다 마셔보고
[00:04:29 - 00:04:31]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:41 - 00:04:42]   야
[00:04:44 - 00:04:45]   치우지마
[00:04:51 - 00:04:52]   그만해
[00:04:59 - 00:05:01]   재벌은 이렇게 놀아야 되나?
[00:05:09 - 00:05:10]   죄송합니다
[00:05:10 - 00:05:12]   재벌이 이렇게 밖에 못 놉니다
[00:05:12 - 00:05:14]   용서해 주십시오
[00:05:22 - 00:05:24]   아 우리 형사님 안 속이시네
[00:05:24 - 00:05:26]   베테랑이시네 베테랑
[00:05:26 - 00:05:28]   아 멋있다
[00:05:28 - 00:05:29]   투피
[00:05:32 - 00:05:34]   아우 아우 놀랐지
[00:05:35 - 00:05:39]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:40 - 00:05:41]   윤사장
[00:05:41 - 00:05:43]   졸태호씨 재밌게 사시네
[00:05:46 - 00:05:47]   태호씨
[00:05:47 - 00:05:48]   근데
[00:05:49 - 00:05:51]   재는 짓고 살지 맙시다
[00:05:52 - 00:05:53]   짠 할까요?
[00:05:58 - 00:06:00]   왜 안 나와서 그런다고
[00:06:02 - 00:06:03]   다 어렵습니다
[00:06:04 - 00:06:07]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:07 - 00:06:10]   올해 감기가 잘 안 좋다는 말을 한번도 안 빼먹고 들었어요
[00:06:11 - 00:06:12]   그래서 내가 죽었나요?
[00:06:13 - 00:06:15]   안 죽었잖아
[00:06:18 - 00:06:19]   야
[00:06:19 - 00:06:21]   너 저거 갖고 싶구나
[00:06:24 - 00:06:26]   그래서 내 인기 얼마라고요?
[00:06:27 - 00:06:29]   아 네 순서대로 말씀드리면
[00:06:30 - 00:06:32]   총액만 불러요 총액만
[00:06:34 - 00:06:36]   고맙습니다 해야지
[00:06:36 - 00:06:37]   고맙습니다
[00:06:42 - 00:06:43]   좀 되는데요
[00:06:43 - 00:06:44]   420
[00:06:44 - 00:06:45]   4..
[00:06:45 - 00:06:47]   420억?
[00:06:47 - 00:06:48]   아니요
[00:06:50 - 00:06:51]   420만?
[00:06:56 - 00:06:57]   기사님
[00:06:59 - 00:07:00]   맷돌 손잡이 알아요?
[00:07:02 - 00:07:04]   맷돌 손잡이를 어휘라 그래요 어휘
[00:07:04 - 00:07:08]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:09 - 00:07:10]   손잡이가 빠졌네
[00:07:11 - 00:07:13]   이런 상황을 어휘가 없다 그래요
[00:07:13 - 00:07:17]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:19 - 00:07:20]   지금 내 기분이 그래
[00:07:22 - 00:07:23]   어휘가 없네
