[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리.
[00:06:16 - 00:06:19]   그래서, 내 인기 얼마라고요?
[00:06:19 - 00:06:22]   아, 네. 순서대로 말씀드리면...
[00:06:22 - 00:06:23]   미치겠네, 미치겠네.
[00:06:23 - 00:06:25]   총액만 불러요, 총액만.
[00:06:25 - 00:06:26]   고맙습니다.
[00:06:26 - 00:06:28]   고맙습니다.
[00:06:32 - 00:06:33]   좀 되는데요.
[00:06:33 - 00:06:34]   420.
[00:06:34 - 00:06:35]   4...
[00:06:35 - 00:06:37]   420억?
[00:06:37 - 00:06:38]   아니요.
[00:06:39 - 00:06:41]   420만?
[00:06:46 - 00:06:47]   기사님,
[00:06:47 - 00:06:49]   420만 원을...
[00:06:49 - 00:06:51]   420만 원을...
[00:06:51 - 00:06:53]   420만 원을...
[00:06:54 - 00:06:55]   기사님,
[00:06:57 - 00:06:59]   맷돌 손잡이 알아요?
[00:07:00 - 00:07:03]   맷돌 손잡이를 어휘라 그래요, 어휘.
[00:07:03 - 00:07:07]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데,
[00:07:07 - 00:07:09]   손잡이가 빠졌네.
[00:07:10 - 00:07:12]   이런 상황을 어이가 없다 그래요.
[00:07:12 - 00:07:13]   황당하잖아.
[00:07:13 - 00:07:16]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까.
[00:07:17 - 00:07:19]   지금 내 기분이 그래.
[00:07:20 - 00:07:21]   어이가 없네.
