[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:03:43 - 00:03:46]   니 친구들하고 같이 타고가면 얼마나 좋아
[00:03:47 - 00:03:48]   가자
[00:03:49 - 00:03:53]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:03:53 - 00:03:55]   조태오 조태오
[00:03:55 - 00:03:57]   저 혹시 제가 아는 신진물산
[00:03:57 - 00:03:58]   아 왜 그러세요
[00:03:59 - 00:04:01]   노는 자리인데 그냥 잡수파당히 받으세요
[00:04:01 - 00:04:03]   근데 윤사장으로는 어떻게 해야 돼
[00:04:03 - 00:04:07]   조실장 미국 유학생활 할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지
[00:04:08 - 00:04:10]   밥 한판 산거 가지고
[00:04:10 - 00:04:12]   아시겠지만 나이는 제가 훨씬 더 어려워요
[00:04:13 - 00:04:16]   제가 재벌하고 술을 다 마셔보고
[00:04:17 - 00:04:19]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:39 - 00:04:40]   그만해
[00:04:43 - 00:04:44]   그만해
[00:04:48 - 00:04:50]   재벌은 이렇게 놀아야 되나?
[00:04:58 - 00:04:59]   죄송합니다
[00:05:00 - 00:05:02]   재벌이 이렇게 밖에 못 놉니다
[00:05:02 - 00:05:03]   용서해주십쇼
[00:05:03 - 00:05:04]   용서해주십쇼
[00:05:11 - 00:05:13]   아 우리 형사님 안 속이시네
[00:05:13 - 00:05:15]   베테랑이시네 베테랑
[00:05:15 - 00:05:16]   아 멋있다
[00:05:16 - 00:05:17]   창피해
[00:05:21 - 00:05:23]   아우 놀랐지
[00:05:24 - 00:05:27]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:29 - 00:05:30]   윤사장
[00:05:30 - 00:05:32]   조태오 씨 재밌게 사시네
[00:05:34 - 00:05:35]   태오 씨
[00:05:35 - 00:05:36]   근데
[00:05:37 - 00:05:39]   재는 짓고 살지 맙시다
[00:05:40 - 00:05:41]   짠 할까요?
[00:05:46 - 00:05:47]   왜 안 나와서 그런다고
[00:05:49 - 00:05:51]   다 어렵습니다
[00:05:51 - 00:05:54]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:05:54 - 00:05:58]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼놓고 들었어요
[00:05:58 - 00:06:00]   그래서 내가 죽었나요?
[00:06:01 - 00:06:02]   안 죽었잖아
[00:06:04 - 00:06:05]   야
[00:06:06 - 00:06:07]   너 저거 갖고 싶지만
[00:06:08 - 00:06:09]   뭐?
[00:06:10 - 00:06:11]   그래서
[00:06:11 - 00:06:12]   내 인기 얼마라고요?
[00:06:13 - 00:06:15]   아 네 순서대로 말씀드리면
[00:06:16 - 00:06:18]   총액만 불러요 총액만
[00:06:20 - 00:06:22]   고맙습니다 해야지
[00:06:22 - 00:06:23]   고맙습니다
[00:06:28 - 00:06:29]   좀 되는데요
[00:06:29 - 00:06:30]   420
[00:06:30 - 00:06:31]   4?
[00:06:31 - 00:06:32]   420?
[00:06:33 - 00:06:34]   420억?
[00:06:35 - 00:06:36]   아니요
[00:06:37 - 00:06:38]   420만?
[00:06:43 - 00:06:44]   기사님
[00:06:45 - 00:06:47]   맷돌 손잡이 알아요?
[00:06:48 - 00:06:50]   맷돌 손잡이를 어휘라 그래요 어휘
[00:06:51 - 00:06:55]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:06:56 - 00:06:57]   손잡이가 빠졌네
[00:06:58 - 00:07:00]   이런 상황을 어휘가 없다 그래요
[00:07:00 - 00:07:03]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:05 - 00:07:06]   지금 내 기분이 그래
[00:07:08 - 00:07:09]   어이가 없네
