[00:00:00 - 00:00:01]   장비를 꺼내, 아줌마, 빨리.
[00:04:22 - 00:04:26]   내가 재벌하고 술을 다 마셔보고.
[00:04:26 - 00:04:29]   근데 재벌은 좀 다르게 놀 줄 알았는데.
[00:04:48 - 00:04:49]   그만해.
[00:04:56 - 00:04:58]   재벌은 이렇게 놀아야 되나?
[00:05:06 - 00:05:08]   죄송합니다.
[00:05:09 - 00:05:11]   재벌이 이렇게 밖에 못 놉니다.
[00:05:11 - 00:05:13]   용서해 주십시오.
[00:05:18 - 00:05:21]   아, 우리 형사님 안 속이시네.
[00:05:21 - 00:05:23]   베테랑이시네, 베테랑.
[00:05:23 - 00:05:25]   아, 멋있다.
[00:05:25 - 00:05:26]   창피해.
[00:05:29 - 00:05:31]   아, 놀랐지.
[00:05:32 - 00:05:36]   우리 할아버지가 사람은 간더미 보고 사귀라고 그랬거든요.
[00:05:37 - 00:05:40]   윤 사장, 조태오 씨 재미있게 사시네.
[00:05:40 - 00:05:44]   태오 씨, 근데 재는 짓고 살지 맙시다.
[00:05:46 - 00:05:47]   짠 할까요?
[00:05:54 - 00:05:56]   왜 안 나와서 그런다고.
[00:05:57 - 00:05:59]   다 어렵습니다.
[00:05:59 - 00:06:05]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고 올해 감기가 잘 안 좋다는 말을 많이 들었어요.
[00:06:05 - 00:06:11]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고 올해 감기가 잘 안 좋다는 말을 한 번도 안 빼놓고 들었어요.
[00:06:12 - 00:06:14]   그래서 내가 죽었나요?
[00:06:14 - 00:06:16]   안 죽었잖아.
[00:06:19 - 00:06:22]   야, 어떤 거 갖고 싶냐?
[00:06:26 - 00:06:28]   그래서, 내 인기 얼마라고요?
[00:06:29 - 00:06:31]   아, 네. 순서대로 말씀드리면...
[00:06:32 - 00:06:34]   총액만 불러요, 총액만.
[00:06:35 - 00:06:37]   고맙습니다 해야지.
[00:06:37 - 00:06:38]   고맙습니다.
[00:06:43 - 00:06:48]   좀 되는데요. 420... 4... 420억?
[00:06:49 - 00:06:50]   아니요.
[00:06:51 - 00:06:52]   420만?
[00:06:57 - 00:07:02]   기사님, 맷돌 손잡이 알아요?
[00:07:03 - 00:07:06]   맷돌 손잡이를 어의라 그래요. 어의.
[00:07:07 - 00:07:13]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데 손잡이가 빠졌네.
[00:07:14 - 00:07:16]   이런 상황을 어이가 없다 그래요.
[00:07:16 - 00:07:20]   황당하잖아. 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까.
[00:07:21 - 00:07:25]   지금 내 기분이 그래. 어이가 없네.
