[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:02:43 - 00:02:46]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요
[00:02:46 - 00:02:49]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고
[00:02:49 - 00:02:53]   걔 지금 밥 먹을 때 턱받이 하고 침 질질 나면서 밥 먹는다니까
[00:02:53 - 00:02:55]   밥 좀 막 좋아하고
[00:02:55 - 00:02:59]   아 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데 진짜
[00:03:02 - 00:03:04]   이리와 괜찮아 임마 잡어
[00:03:04 - 00:03:06]   잡어 두 손으로 그렇지
[00:03:06 - 00:03:09]   경찰을 때리면 어떡하냐 그것도 등기로
[00:03:10 - 00:03:11]   예?
[00:03:11 - 00:03:13]   그 징금을 일단 내려놓고 내려놔 빨리
[00:03:13 - 00:03:15]   정당방위다
[00:03:16 - 00:03:17]   이놈의 새끼가
[00:03:19 - 00:03:22]   말로 해 말로 말로 말로 말로
[00:03:23 - 00:03:25]   똑바로 앉아 똑바로 앉아 임마
[00:03:30 - 00:03:32]   힘들지? 타고 가
[00:03:33 - 00:03:34]   물 줘?
[00:03:38 - 00:03:40]   나 그 서울 가면 할 일 많거든
[00:03:40 - 00:03:42]   그냥 타고 가자
[00:03:47 - 00:03:48]   갑시다
[00:03:49 - 00:03:50]   그래
[00:03:50 - 00:03:53]   니 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:54 - 00:03:55]   가자
[00:03:56 - 00:03:58]   신진물산 부사장으로 승진하실
[00:03:58 - 00:04:00]   조태오 기획 조정실장
[00:04:00 - 00:04:02]   조태오 조태오
[00:04:02 - 00:04:04]   혹시 제가 아는 신진물산
[00:04:04 - 00:04:05]   아 왜 그러세요
[00:04:06 - 00:04:08]   모는 자리인데 그냥 자수 편하게 받으세요
[00:04:08 - 00:04:10]   근데 윤사장하고는 어떻게 해야 돼
[00:04:10 - 00:04:13]   조실장 미국 유학생활 할 때 다혜랑 촬영 갔다 만나가지고
[00:04:13 - 00:04:14]   신세 많이 졌지
[00:04:14 - 00:04:17]   아유 밥 한판 산 거 가지고
[00:04:17 - 00:04:19]   아시겠지만 난 이제 훨씬 더 어려워
[00:04:23 - 00:04:25]   재벌하고 술을 다 마셔보고
[00:04:26 - 00:04:28]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:48 - 00:04:49]   그만해
[00:04:56 - 00:04:58]   재벌은 이렇게 놀아야 되나?
[00:05:06 - 00:05:07]   죄송합니다
[00:05:08 - 00:05:10]   재벌이 이렇게 밖에 못 놉니다
[00:05:10 - 00:05:12]   용서해 주십시오
[00:05:18 - 00:05:19]   하하하하하
[00:05:20 - 00:05:22]   아 우리 형사님 안 속이시네
[00:05:22 - 00:05:24]   베테랑이시네 베테랑
[00:05:24 - 00:05:26]   아 멋있다
[00:05:26 - 00:05:27]   창피해
[00:05:30 - 00:05:32]   아우 아우 놀랐지
[00:05:34 - 00:05:37]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:39 - 00:05:40]   윤사장
[00:05:40 - 00:05:42]   조태오 씨 재밌게 사시네
[00:05:43 - 00:05:44]   오우
[00:05:44 - 00:05:45]   태오 씨
[00:05:45 - 00:05:46]   근데
[00:05:47 - 00:05:49]   재는 짓고 살지 맙시다
[00:05:50 - 00:05:52]   짠 할까요?
[00:05:57 - 00:05:59]   왜 안 나와서 그런다고
[00:06:01 - 00:06:02]   다 어렵습니다
[00:06:03 - 00:06:06]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:06 - 00:06:09]   올해 감기가 제일 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:10 - 00:06:11]   그래서 내가 죽었나요?
[00:06:13 - 00:06:15]   안 죽었잖아
[00:06:18 - 00:06:19]   야
[00:06:19 - 00:06:21]   너 저거 갖고 싶지 마
[00:06:22 - 00:06:23]   뭐?
[00:06:24 - 00:06:25]   그래서
[00:06:25 - 00:06:26]   내 인기 얼마라고요?
[00:06:27 - 00:06:28]   아 네
[00:06:28 - 00:06:29]   순서대로 말씀드리면
[00:06:29 - 00:06:30]   미치겠네 미치겠네
[00:06:30 - 00:06:32]   총액만 불러요 총액만
[00:06:34 - 00:06:35]   고맙습니다 해야지
[00:06:35 - 00:06:37]   고맙습니다
[00:06:37 - 00:06:38]   아이고
[00:06:39 - 00:06:40]   무섭네
[00:06:41 - 00:06:42]   좀 되는데요
[00:06:42 - 00:06:43]   420
[00:06:43 - 00:06:44]   4..
[00:06:45 - 00:06:46]   420억?
[00:06:47 - 00:06:48]   아니요
[00:06:49 - 00:06:50]   420만?
[00:06:55 - 00:06:56]   기사님
[00:06:58 - 00:06:59]   맷돌 손잡이 알아요?
[00:07:01 - 00:07:03]   맷돌 손잡이를 어휘라 그래요 어휘
[00:07:04 - 00:07:08]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:08 - 00:07:10]   손잡이가 빠졌네
[00:07:11 - 00:07:13]   이런 상황을 어이가 없다 그래요
[00:07:13 - 00:07:14]   황당하잖아
[00:07:14 - 00:07:17]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:18 - 00:07:20]   지금 내 기분이 그래
[00:07:21 - 00:07:22]   어이가 없네
