[00:00:00 - 00:00:01]   장비를 꺼내, 아줌마, 빨리.
[00:02:11 - 00:02:13]   너 혼자 그만.
[00:02:13 - 00:02:14]   야, 그냥 들어가.
[00:02:14 - 00:02:16]   왜 굴러다니고 지랄이야, 정신 사납게.
[00:02:16 - 00:02:17]   차 안 상했어?
[00:02:17 - 00:02:20]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야.
[00:02:20 - 00:02:23]   내가 그랬지, 사람 다쳤나 먼저 물어보라고.
[00:02:24 - 00:02:25]   야, 이 새끼.
[00:02:25 - 00:02:25]   얘야?
[00:02:25 - 00:02:27]   일어나, 이 새끼야.
[00:02:27 - 00:02:28]   변호사 불러.
[00:02:30 - 00:02:33]   나 전화를 한 통 안 받는다니까 깜빡했네.
[00:02:33 - 00:02:35]   부재중이다.
[00:02:35 - 00:02:36]   야, 손호철.
[00:02:36 - 00:02:40]   나 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어.
[00:02:40 - 00:02:42]   아니, 잠깐만.
[00:02:42 - 00:02:45]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:45 - 00:02:48]   저때 우리 하우스 털었을 때 애 괜히 손 대가지고.
[00:02:48 - 00:02:52]   걔 지금 밥 먹을 때 턱받이하고 침 질질 내면서 밥 먹는다니까.
[00:02:52 - 00:02:53]   밥 주면 막 좋아하고.
[00:02:54 - 00:02:57]   아, 얘 이거 사람 때리고 싶어서 경찰돼가지고 골치 아픈데, 진짜.
[00:03:00 - 00:03:02]   이리 와, 괜찮아, 잡아.
[00:03:02 - 00:03:03]   잡아, 두 손으로.
[00:03:03 - 00:03:04]   그렇지.
[00:03:04 - 00:03:08]   경찰을 때리면 어떡하냐, 그것도 등기로.
[00:03:08 - 00:03:09]   네?
[00:03:09 - 00:03:12]   그 증금을 일단 내려놓고, 내려놔, 빨리.
[00:03:12 - 00:03:14]   정당방위다, 이 새끼야.
[00:03:14 - 00:03:16]   이 새끼가.
[00:03:17 - 00:03:19]   말로 해, 말로.
[00:03:19 - 00:03:20]   말로, 말로, 말로.
[00:03:20 - 00:03:22]   놔, 놔, 놔.
[00:03:22 - 00:03:24]   똑바로 앉아, 똑바로 앉아, 인마.
[00:03:29 - 00:03:32]   힘들지? 타고 가.
[00:03:32 - 00:03:34]   물 줘?
[00:03:34 - 00:03:36]   물 줘.
[00:03:37 - 00:03:39]   나 서울 가면 할 일 많거든.
[00:03:39 - 00:03:41]   그냥 타고 가자.
[00:03:46 - 00:03:48]   빨리 갑시다.
[00:03:49 - 00:03:53]   그래, 니 친구들하고 같이 타고 가면 얼마나 좋아.
[00:03:55 - 00:03:56]   가자.
[00:03:56 - 00:04:02]   신진물산 부사장으로 승진하실 조태오 기획 조정실장, 조태오.
[00:04:02 - 00:04:05]   혹시 제가 아는 신진물산...
[00:04:05 - 00:04:06]   아, 왜 그러세요.
[00:04:06 - 00:04:08]   모는 자리인데 그냥 자수하나 받으세요.
[00:04:08 - 00:04:10]   근데 윤 사장으로는 어떻게 해야 돼?
[00:04:10 - 00:04:15]   조 실장 미국 유학생활할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지.
[00:04:16 - 00:04:18]   밥 한번 산 거 가지고...
[00:04:18 - 00:04:20]   아시겠지만 나이 이제 훨씬 어려워.
[00:04:23 - 00:04:26]   재벌하고 술을 다 마셔보고...
[00:04:26 - 00:04:29]   근데 재벌은 좀 다르게 놀 줄 알았는데...
[00:04:46 - 00:04:48]   그만해.
[00:04:55 - 00:04:58]   재벌은 이렇게 놀아야 되나?
[00:05:05 - 00:05:07]   죄송합니다.
[00:05:07 - 00:05:09]   재벌이 이렇게 밖에 못 놉니다.
[00:05:09 - 00:05:11]   용서해 주십시오.
[00:05:16 - 00:05:19]   아, 우리 용사님 안 속이시네.
[00:05:19 - 00:05:21]   베테랑이시네, 베테랑.
[00:05:21 - 00:05:23]   아, 멋있다.
[00:05:23 - 00:05:24]   창피해.
[00:05:27 - 00:05:29]   아, 놀랐지.
[00:05:30 - 00:05:34]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요.
[00:05:35 - 00:05:38]   윤 사장, 조태오 씨 재미있게 사시네.
[00:05:38 - 00:05:41]   태오 씨, 근데...
[00:05:41 - 00:05:43]   재는 짓고 살지 맙시다.
[00:05:44 - 00:05:46]   짠 할까요?
[00:05:50 - 00:05:52]   왜 안 나와서 그런다고...
[00:05:53 - 00:05:55]   다 어렵습니다.
[00:05:55 - 00:05:59]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:05:59 - 00:06:02]   올해 감기가 제일 안 좋다는 말을 한 번도 안 빼먹고 들었어요.
[00:06:02 - 00:06:04]   그래서 내가 죽었는데...
[00:06:05 - 00:06:07]   안 죽었잖아.
[00:06:09 - 00:06:12]   야, 너 저거 갖고 싶구나.
[00:06:14 - 00:06:17]   그래서, 내 인기 얼마라고요?
[00:06:18 - 00:06:20]   아, 네. 순서로 말씀드리면...
[00:06:21 - 00:06:23]   총액만 불러요, 총액만.
[00:06:25 - 00:06:27]   고맙습니다. 해야지.
[00:06:27 - 00:06:29]   고맙습니다.
[00:06:29 - 00:06:31]   좀 되는데요. 420...
[00:06:31 - 00:06:34]   4... 420억?
[00:06:35 - 00:06:37]   아니요.
[00:06:37 - 00:06:39]   420만?
[00:06:42 - 00:06:44]   기사님...
[00:06:46 - 00:06:48]   맷돌 손잡이 알아요?
[00:06:49 - 00:06:51]   맷돌 손잡이를 어디서 샀어요?
[00:06:52 - 00:06:54]   맷돌 손잡이를 어디서 샀어요?
[00:06:55 - 00:06:57]   맷돌 손잡이 알아요?
[00:06:58 - 00:07:00]   맷돌 손잡이를 어이라 그래요. 어이.
[00:07:01 - 00:07:05]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데...
[00:07:05 - 00:07:07]   손잡이가 빠졌네.
[00:07:08 - 00:07:10]   이런 상황을 어이가 없다 그래요.
[00:07:10 - 00:07:14]   황당하잖아. 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까.
[00:07:15 - 00:07:17]   지금 내 기분이 그래.
[00:07:18 - 00:07:20]   어이가 없네.
