[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마, 빨리!
[00:03:10 - 00:03:11]   네?
[00:03:11 - 00:03:13]   그 증금을 일단 내려놓고
[00:03:13 - 00:03:14]   내려놔, 빨리
[00:03:14 - 00:03:16]   정당방위다, 이 새끼야
[00:03:17 - 00:03:18]   이 새끼가
[00:03:20 - 00:03:23]   말로 해, 말로! 말로! 말로, 말로, 말로!
[00:03:24 - 00:03:25]   똑바로 앉아
[00:03:25 - 00:03:26]   똑바로 앉아, 임마
[00:03:32 - 00:03:33]   힘들지?
[00:03:33 - 00:03:34]   타고 가
[00:03:35 - 00:03:36]   물 줘?
[00:03:40 - 00:03:42]   나 서울 가면 할 일 많거든
[00:03:42 - 00:03:44]   그냥 타고 가자
[00:03:44 - 00:03:45]   어?
[00:03:49 - 00:03:50]   빨리 갑시다
[00:03:51 - 00:03:52]   그래
[00:03:52 - 00:03:55]   네 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:57 - 00:03:58]   가자
[00:03:58 - 00:04:00]   신진물산 부사장으로 승진하실
[00:04:00 - 00:04:02]   조태오 기획 조정실장
[00:04:02 - 00:04:05]   조태오, 조태오
[00:04:05 - 00:04:07]   혹시 제가 아는 신진물산...
[00:04:07 - 00:04:08]   아, 왜 그러세요?
[00:04:08 - 00:04:10]   모는 자리인데 그냥 장판하게 받으세요
[00:04:10 - 00:04:12]   근데 윤 사장으로는 어떻게 해야 돼?
[00:04:12 - 00:04:14]   조 실장 미국 유학생활 할 때
[00:04:14 - 00:04:15]   다혜랑 촬영 갔다 만나가지고
[00:04:15 - 00:04:17]   신세 많이 졌지?
[00:04:17 - 00:04:19]   아이고, 밥 한판 산 거 가지고
[00:04:20 - 00:04:22]   아시겠지만 나이 이제 훨씬 더 어려워
[00:04:24 - 00:04:27]   아이가 재벌하고 술을 다 마셔보고
[00:04:28 - 00:04:30]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:31 - 00:04:33]   아, 살 찌고 싶다
[00:04:40 - 00:04:41]   야, 야
[00:04:50 - 00:04:51]   그만해
[00:04:51 - 00:04:52]   그만해
[00:04:59 - 00:05:01]   재벌은 이렇게 놀아야 되나?
[00:05:09 - 00:05:10]   죄송합니다
[00:05:11 - 00:05:13]   재벌이 이렇게 밖에 못 놉니다
[00:05:13 - 00:05:14]   용서해 주십시오
[00:05:15 - 00:05:17]   아, 우리 형사님 안 속이시네
[00:05:18 - 00:05:19]   베테랑이시네 베테랑
[00:05:20 - 00:05:21]   아, 멋있다
[00:05:22 - 00:05:23]   창피해
[00:05:26 - 00:05:28]   아우, 아우 놀랐지
[00:05:30 - 00:05:33]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:34 - 00:05:35]   윤 사장
[00:05:36 - 00:05:37]   조태오 씨 재미있게 사시네
[00:05:37 - 00:05:39]   태호 씨, 근데
[00:05:40 - 00:05:41]   재는 짓고 살지 맙시다
[00:05:43 - 00:05:44]   짠 할까요?
[00:05:49 - 00:05:50]   왜 안 나와서 그런다고
[00:05:52 - 00:05:53]   다 어렵습니다
[00:05:54 - 00:05:57]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:05:57 - 00:06:00]   올해 감기가 제일 안 좋다는 말을 한 번도 안 들었어
[00:06:01 - 00:06:02]   아이고, 아이고
[00:06:02 - 00:06:05]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:05 - 00:06:08]   올해 감기가 제일 안 좋다는 말을 한 번도 안 듣고 들었어요
[00:06:09 - 00:06:10]   그래서 내가 죽었나요?
[00:06:12 - 00:06:13]   안 죽었잖아
[00:06:17 - 00:06:19]   야, 너 저거 갖고 싶구나
[00:06:21 - 00:06:22]   뭐
[00:06:23 - 00:06:25]   그래서, 내 인기 얼마라고요?
[00:06:26 - 00:06:28]   아, 네, 저 순서대로 말씀드리면
[00:06:28 - 00:06:29]   미치겠네, 미치겠네
[00:06:30 - 00:06:31]   총액만 불러요, 총액만
[00:06:33 - 00:06:34]   고맙습니다 해야지
[00:06:35 - 00:06:36]   고맙습니다
[00:06:41 - 00:06:42]   좀 되는데요
[00:06:42 - 00:06:43]   420
[00:06:43 - 00:06:44]   4...
[00:06:44 - 00:06:45]   420억?
[00:06:46 - 00:06:47]   아니요
[00:06:48 - 00:06:49]   420만?
[00:06:54 - 00:06:55]   기사님
[00:06:57 - 00:06:58]   맷돌 손잡이 알아요?
[00:06:59 - 00:07:01]   맷돌 손잡이를 어의라 그래요, 어의
[00:07:02 - 00:07:06]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:07 - 00:07:08]   손잡이가 빠졌네
[00:07:09 - 00:07:11]   이런 상황을 어이가 없다 그래요
[00:07:11 - 00:07:12]   황당하잖아
[00:07:12 - 00:07:14]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:16 - 00:07:17]   지금 내 기분이 그래
[00:07:18 - 00:07:19]   어이가 없네
