[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:05:11 - 00:05:12]   용서해
[00:05:12 - 00:05:13]   용서해
[00:05:13 - 00:05:15]   재벌은 이렇게 밖에 못 놉니다
[00:05:15 - 00:05:17]   용서해 주십시오
[00:05:24 - 00:05:26]   아 우리 형사님 안 속으시네
[00:05:26 - 00:05:28]   베테랑이시네 베테랑
[00:05:28 - 00:05:30]   아 멋있다
[00:05:30 - 00:05:31]   창피해
[00:05:34 - 00:05:36]   아우 아우 놀랐지
[00:05:38 - 00:05:41]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:42 - 00:05:45]   임사장 조태호씨 재미있게 사시네
[00:05:48 - 00:05:50]   태호씨 근데
[00:05:51 - 00:05:53]   재는 짓고 살지 맙시다
[00:05:54 - 00:05:55]   짠 할까요?
[00:06:00 - 00:06:02]   왜 안나와서 그런다고
[00:06:04 - 00:06:05]   다 어렵습니다
[00:06:06 - 00:06:09]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:09 - 00:06:12]   올해 감기가 잘 안좋다는 말을 한번도 안 빼먹고 들었어요
[00:06:13 - 00:06:14]   그래서 내가 죽었나요?
[00:06:16 - 00:06:17]   안 죽었잖아
[00:06:20 - 00:06:21]   야
[00:06:22 - 00:06:23]   어쩌고 갖고 싶구나
[00:06:27 - 00:06:29]   그래서 내 인기 얼마라고요?
[00:06:30 - 00:06:32]   아 네 순서대로 말씀드리면
[00:06:33 - 00:06:35]   총액만 불러요 총액만
[00:06:37 - 00:06:39]   고맙습니다 해야지
[00:06:39 - 00:06:40]   고맙습니다
[00:06:45 - 00:06:47]   좀 되는데요 420
[00:06:47 - 00:06:48]   4..
[00:06:48 - 00:06:49]   420억?
[00:06:50 - 00:06:51]   아니요
[00:06:53 - 00:06:54]   420만?
[00:06:59 - 00:07:00]   기사님
[00:07:02 - 00:07:04]   맷돌 손잡이 알아요?
[00:07:05 - 00:07:07]   맷돌 손잡이를 어이라 그래요
[00:07:08 - 00:07:12]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:12 - 00:07:14]   손잡이가 빠졌네
[00:07:15 - 00:07:17]   이런 상황을 어이가 없다 그래요
[00:07:17 - 00:07:18]   황당하잖아
[00:07:18 - 00:07:21]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:22 - 00:07:24]   지금 내 기분이 그래
[00:07:24 - 00:07:26]   어이가 없네
