[00:00:00 - 00:00:02]   담배를 꺼내 아줌마야 빨리
[00:03:52 - 00:03:53]   그래
[00:03:53 - 00:03:55]   니 친구들하고 같이 타고가면 얼마나 좋아
[00:03:57 - 00:03:58]   가자
[00:03:59 - 00:04:03]   신진물산 부사장으로 승진하실 조태오 기획조정실장
[00:04:03 - 00:04:04]   조태오
[00:04:05 - 00:04:07]   혹시 제가 아는 신진물산
[00:04:07 - 00:04:08]   아 왜그러세요
[00:04:09 - 00:04:10]   노는 자리인데 그냥 장판하게 받으세요
[00:04:11 - 00:04:12]   근데 윤사장으로는 어떡해요
[00:04:12 - 00:04:15]   조실장 미국 유학생활할때 다혜랑 촬영갔다 만나가지고
[00:04:15 - 00:04:16]   신세 많이 졌지
[00:04:17 - 00:04:19]   밥 한판 산거 가지고
[00:04:20 - 00:04:21]   아시겠지만 나이 이제 훨씬 어려워
[00:04:24 - 00:04:27]   제가 재벌하고 술을 다 마셔보고
[00:04:28 - 00:04:30]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:31 - 00:04:32]   살찌고 있네
[00:04:49 - 00:04:50]   그만해
[00:04:57 - 00:04:59]   재벌은 이렇게 놀아야 하나
[00:05:00 - 00:05:01]   응?
[00:05:08 - 00:05:09]   죄송합니다
[00:05:10 - 00:05:11]   재벌은 이렇게 밖에 못 놉니다
[00:05:12 - 00:05:13]   용서해주십쇼
[00:05:21 - 00:05:22]   아 우리 용사님 안 속이시네
[00:05:23 - 00:05:24]   베테랑이시네 베테랑
[00:05:25 - 00:05:26]   아 멋있다
[00:05:27 - 00:05:28]   창피해
[00:05:31 - 00:05:32]   아우 놀랐지
[00:05:34 - 00:05:37]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:39 - 00:05:41]   윤사장 조태오씨 재밌게 사시네
[00:05:45 - 00:05:46]   태오씨 근데
[00:05:48 - 00:05:49]   재는 짓고 살지 맙시다
[00:05:51 - 00:05:52]   짠 할까요?
[00:05:57 - 00:05:58]   안 나와서 그런다고
[00:06:00 - 00:06:01]   다 어렵습니다
[00:06:02 - 00:06:05]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:05 - 00:06:08]   올해 감기가 제일 안 좋다는 말을 한번도 안 빼먹고 들었어요
[00:06:09 - 00:06:10]   그래서 내가 죽었나요?
[00:06:12 - 00:06:13]   안 죽었잖아
[00:06:16 - 00:06:17]   야
[00:06:18 - 00:06:19]   어떤 거 갖고 싶냐
[00:06:20 - 00:06:21]   뭐
[00:06:22 - 00:06:23]   그래서
[00:06:23 - 00:06:24]   내 인기 얼마라고요?
[00:06:26 - 00:06:27]   아 네 순서대로 말씀드리면
[00:06:27 - 00:06:28]   순서대로 말씀드리면
[00:06:29 - 00:06:30]   총액만 불러요 총액만
[00:06:33 - 00:06:34]   고맙습니다 해야지
[00:06:34 - 00:06:35]   고맙습니다
[00:06:40 - 00:06:41]   좀 되는데요
[00:06:41 - 00:06:42]   420
[00:06:43 - 00:06:44]   4..
[00:06:44 - 00:06:45]   420억?
[00:06:46 - 00:06:47]   아니요
[00:06:48 - 00:06:49]   420만?
[00:06:54 - 00:06:55]   기사님
[00:06:57 - 00:06:58]   맷돌 손잡이 알아요?
[00:07:00 - 00:07:02]   맷돌 손잡이를 어이라 그래요 어이
[00:07:03 - 00:07:06]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:07 - 00:07:08]   손잡이가 빠졌네
[00:07:09 - 00:07:11]   이런 상황을 어이가 없다 그래요
[00:07:12 - 00:07:15]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:16 - 00:07:18]   지금 내 기분이 그래
[00:07:19 - 00:07:20]   어이가 없네
