[00:00:00 - 00:00:02]   장비를 꺼내 아줌마 빨리
[00:05:28 - 00:05:30]   아 멋있다
[00:05:30 - 00:05:31]   창피해
[00:05:34 - 00:05:36]   아우 아우 놀랐지
[00:05:38 - 00:05:41]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:42 - 00:05:43]   윤 사장
[00:05:43 - 00:05:45]   조태오 씨 재밌게 사시네
[00:05:48 - 00:05:49]   태호 씨
[00:05:50 - 00:05:52]   태호 씨 근데
[00:05:53 - 00:05:55]   재는 짓고 살지 맙시다
[00:05:56 - 00:05:57]   짠 할까요?
[00:06:03 - 00:06:04]   왜 안 나와서 그런다고
[00:06:06 - 00:06:07]   다 어렵습니다
[00:06:08 - 00:06:11]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:11 - 00:06:14]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:15 - 00:06:16]   그래서 내가 죽었나요?
[00:06:16 - 00:06:17]   그래서 내가 죽었나요?
[00:06:18 - 00:06:20]   안 죽었잖아
[00:06:23 - 00:06:24]   야
[00:06:25 - 00:06:26]   어떤 거 갖고 싶냐
[00:06:27 - 00:06:28]   뭐
[00:06:29 - 00:06:31]   그래서 내 인기 얼마라고요?
[00:06:32 - 00:06:34]   아 네 순서대로 말씀드리면
[00:06:35 - 00:06:36]   미치겠다 미치겠다
[00:06:36 - 00:06:37]   총인만 불러요 총인만
[00:06:39 - 00:06:41]   고맙습니다 해야지
[00:06:41 - 00:06:42]   고맙습니다
[00:06:42 - 00:06:43]   고맙습니다
[00:06:48 - 00:06:49]   좀 되는데요
[00:06:49 - 00:06:50]   420
[00:06:50 - 00:06:51]   4..
[00:06:51 - 00:06:52]   420억?
[00:06:53 - 00:06:54]   아니요
[00:06:56 - 00:06:57]   420만?
[00:07:02 - 00:07:03]   기사님
[00:07:05 - 00:07:06]   맷돌 손잡이 알아요?
[00:07:08 - 00:07:10]   맷돌 손잡이를 어휘라 그래요 어휘
[00:07:10 - 00:07:14]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:15 - 00:07:16]   손잡이가 빠졌네
[00:07:17 - 00:07:19]   이런 상황을 어휘가 없다 그래요
[00:07:20 - 00:07:23]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:25 - 00:07:26]   지금 내 기분이 그래
[00:07:28 - 00:07:29]   어휘가 없네
