[00:00:00 - 00:00:02]   아 잠깐만요 트렁크에서
[00:04:42 - 00:04:44]   아우 놀랐지
[00:04:44 - 00:04:46]   우리 할아버지가
[00:04:46 - 00:04:48]   사람은 간더미 보고 사귀라 그랬거든요
[00:04:48 - 00:04:50]   윤사장
[00:04:50 - 00:04:52]   조태호씨 재밌게 사시네
[00:04:54 - 00:04:56]   태호씨
[00:04:56 - 00:04:58]   근데
[00:04:58 - 00:05:00]   재는 짓고 살지 맙시다
[00:05:00 - 00:05:02]   짠할까요
[00:05:06 - 00:05:08]   다 어렵습니다
[00:05:08 - 00:05:10]   나는 어릴 때부터
[00:05:10 - 00:05:12]   매년 올해 감기가 제일 지독하고
[00:05:12 - 00:05:14]   올해 감기가 잘 안좋다는 말을
[00:05:14 - 00:05:16]   한번도 안 빼놓고 들었어
[00:05:16 - 00:05:18]   그래서 내가 죽었나요
[00:05:18 - 00:05:20]   안죽었잖아
[00:05:22 - 00:05:24]   야 너 저거 갖고싶구나
[00:05:24 - 00:05:26]   뭐
[00:05:26 - 00:05:28]   그래서
[00:05:28 - 00:05:30]   내 인기 얼마라고요
[00:05:30 - 00:05:32]   아 네 순전히 말씀드리면
[00:05:32 - 00:05:34]   총액만 불러요 총액만
[00:05:36 - 00:05:38]   고맙습니다 해야지
[00:05:38 - 00:05:40]   아이고
[00:05:40 - 00:05:42]   좀 되는데요
[00:05:42 - 00:05:44]   420
[00:05:44 - 00:05:46]   420억?
[00:05:48 - 00:05:50]   420만?
[00:05:54 - 00:05:56]   기사님
[00:05:56 - 00:05:58]   맷돌 손잡이 알아요
[00:05:58 - 00:06:00]   맷돌 손잡이를 어휘라 그래요 어휘
[00:06:00 - 00:06:02]   맷돌에 뭘 갈려고
[00:06:02 - 00:06:04]   집어넣고 맷돌을 돌리려고 하는데
[00:06:04 - 00:06:06]   손잡이가 빠졌네
[00:06:06 - 00:06:08]   이런 상황을
[00:06:08 - 00:06:10]   어이가 없다 그래요
[00:06:10 - 00:06:12]   황당하잖아 아무것도 아닌 손잡이 때문에
[00:06:12 - 00:06:14]   해야 될 일을 못하니까
[00:06:14 - 00:06:16]   지금 내 기분이 그래
[00:06:16 - 00:06:18]   어이가 없네
