[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:04:06 - 00:04:07]   아 왜그러세요
[00:04:07 - 00:04:09]   모는 자리인데 그냥 장판하게 받으세요
[00:04:09 - 00:04:11]   근데 윤사장으로는 어떡해요
[00:04:11 - 00:04:16]   조실장 미국 유학생활할때 다혜랑 촬영갔다 만나가지고 신세 많이 졌지
[00:04:16 - 00:04:19]   밥 한판 산거 가지고
[00:04:19 - 00:04:21]   아시겠지만 나이 훨씬 어려워
[00:04:25 - 00:04:27]   재벌하고 술을 다 마셔보고
[00:04:27 - 00:04:30]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:47 - 00:04:49]   그만해
[00:04:56 - 00:04:58]   재벌은 이렇게 놀아야 되나?
[00:05:06 - 00:05:08]   죄송합니다
[00:05:08 - 00:05:10]   재벌이 이렇게 밖에 못놉니다
[00:05:10 - 00:05:12]   용서해주십쇼
[00:05:13 - 00:05:16]   아 우리 형사님 안 속이시네
[00:05:16 - 00:05:18]   베테랑이시네 베테랑
[00:05:18 - 00:05:20]   아 멋있다
[00:05:20 - 00:05:21]   투피
[00:05:24 - 00:05:26]   아우 아우 놀랐지
[00:05:27 - 00:05:31]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:33 - 00:05:34]   아우
[00:05:34 - 00:05:35]   아우
[00:05:35 - 00:05:36]   아우
[00:05:36 - 00:05:37]   아우
[00:05:37 - 00:05:38]   아우
[00:05:38 - 00:05:42]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:43 - 00:05:44]   윤사장
[00:05:44 - 00:05:46]   졸태호씨 재밌게 사시네
[00:05:49 - 00:05:50]   태호씨
[00:05:50 - 00:05:52]   근데
[00:05:52 - 00:05:54]   재는 짓고 살지 맙시다
[00:05:55 - 00:05:57]   짠 할까요?
[00:06:04 - 00:06:06]   안 나와서 그런다고
[00:06:06 - 00:06:08]   다 어렵습니다
[00:06:08 - 00:06:11]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:11 - 00:06:15]   올해 감기가 잘 안좋다는 말을 한번도 안 빼먹고 들었어요
[00:06:15 - 00:06:17]   그래서 내가 죽었나요?
[00:06:17 - 00:06:20]   안 죽었잖아
[00:06:23 - 00:06:24]   야
[00:06:24 - 00:06:26]   너 저거 갖고 싶지마
[00:06:27 - 00:06:28]   뭐
[00:06:29 - 00:06:32]   그래서 내 인기 얼마라고요?
[00:06:32 - 00:06:35]   아 네 순서대로 말씀드리면
[00:06:36 - 00:06:38]   총액만 불러요 총액만
[00:06:39 - 00:06:41]   고맙습니다 해야지
[00:06:41 - 00:06:42]   고맙습니다
[00:06:47 - 00:06:49]   좀 되는데요 420
[00:06:49 - 00:06:50]   4..
[00:06:51 - 00:06:52]   420억?
[00:06:53 - 00:06:54]   아니요
[00:06:55 - 00:06:56]   420만?
[00:07:01 - 00:07:02]   기사님
[00:07:03 - 00:07:05]   맷돌 손잡이 알아요?
[00:07:06 - 00:07:09]   맷돌 손잡이를 어휘라 그래요 어휘
[00:07:09 - 00:07:14]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:14 - 00:07:16]   손잡이가 빠졌네
[00:07:16 - 00:07:19]   이런 상황을 어이가 없다 그래요
[00:07:19 - 00:07:23]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:24 - 00:07:26]   지금 내 기분이 그래
[00:07:27 - 00:07:29]   어이가 없네
