[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:05:39 - 00:05:42]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:43 - 00:05:46]   윤사장 조태오 씨 재밌게 사시네
[00:05:46 - 00:05:48]   태오 씨 근데
[00:05:49 - 00:05:51]   재는 짓고 살지 맙시다
[00:05:52 - 00:05:53]   짠 할까요?
[00:05:59 - 00:06:00]   왜 안 나와서 그런다고
[00:06:02 - 00:06:03]   다 어렵습니다
[00:06:04 - 00:06:07]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:07 - 00:06:10]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:11 - 00:06:12]   그래서 내가 죽었나요?
[00:06:12 - 00:06:13]   안 죽었잖아
[00:06:16 - 00:06:17]   야
[00:06:18 - 00:06:19]   너 저거 갖고 싶구나
[00:06:21 - 00:06:22]   뭐?
[00:06:23 - 00:06:25]   그래서 내 인기 얼마라고요?
[00:06:26 - 00:06:28]   아 네 순서로 말씀드리면
[00:06:29 - 00:06:31]   총액만 불러요 총액만
[00:06:33 - 00:06:34]   고맙습니다 해야지
[00:06:34 - 00:06:36]   고맙습니다
[00:06:36 - 00:06:37]   고맙습니다
[00:06:37 - 00:06:38]   고맙습니다
[00:06:38 - 00:06:39]   고맙습니다
[00:06:39 - 00:06:40]   고맙습니다
[00:06:40 - 00:06:41]   고맙습니다
[00:06:46 - 00:06:47]   좀 되는데요
[00:06:47 - 00:06:48]   420
[00:06:48 - 00:06:49]   4..
[00:06:50 - 00:06:51]   420억?
[00:06:52 - 00:06:53]   아니요
[00:06:54 - 00:06:55]   420만?
[00:07:00 - 00:07:01]   기사님
[00:07:03 - 00:07:04]   맷돌 손잡이 알아요?
[00:07:06 - 00:07:08]   맷돌 손잡이를 어휘라 그래요 어휘
[00:07:08 - 00:07:12]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:13 - 00:07:14]   손잡이가 빠졌네
[00:07:15 - 00:07:17]   이런 상황을 어휘가 없다 그래요
[00:07:17 - 00:07:21]   황당하잖아 아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:23 - 00:07:24]   지금 내 기분이 그래
[00:07:26 - 00:07:27]   어휘가 없네
