[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:03:35 - 00:03:36]   물 줘
[00:03:38 - 00:03:40]   나 그 서울 가면 할 일 많거든
[00:03:40 - 00:03:42]   그냥 타고 가자
[00:03:47 - 00:03:48]   그래
[00:03:48 - 00:03:51]   니 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:52 - 00:03:53]   가자
[00:03:54 - 00:03:58]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:03:58 - 00:04:01]   조태오 조태오
[00:04:01 - 00:04:03]   혹시 제가 아는 신진물산
[00:04:03 - 00:04:04]   아 왜 그러세요
[00:04:04 - 00:04:06]   모는 자리인데 그냥 잔판하게 받으세요
[00:04:06 - 00:04:08]   근데 윤사장하고는 어떻게 해야 돼
[00:04:08 - 00:04:12]   조실장 미국 유학생활 할 때 다혜랑 촬영 갔다 만나가지고 신세 많이 졌지
[00:04:13 - 00:04:15]   아이고 밥 한판 산거 가지고
[00:04:16 - 00:04:18]   아시겠지만 나이 이제 훨씬 더 어려워
[00:04:22 - 00:04:24]   재벌하고 술을 다 마셔보고
[00:04:25 - 00:04:27]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:46 - 00:04:47]   그만해
[00:04:54 - 00:04:56]   재벌은 이렇게 놀아야 되나?
[00:05:05 - 00:05:06]   죄송합니다
[00:05:07 - 00:05:09]   재벌이 이렇게 밖에 못 놉니다
[00:05:09 - 00:05:10]   용서해주십쇼
[00:05:16 - 00:05:18]   하하하하
[00:05:19 - 00:05:21]   아 우리 용사님 안 속이시네
[00:05:21 - 00:05:23]   베테랑이시네 베테랑
[00:05:23 - 00:05:25]   아 멋있다
[00:05:25 - 00:05:26]   창피해
[00:05:29 - 00:05:31]   아우 아우 놀랐지
[00:05:33 - 00:05:36]   우리 할아버지가 사람은 간더미 보고 사귀라 그랬거든요
[00:05:38 - 00:05:39]   윤사장
[00:05:39 - 00:05:41]   조태오 씨 재밌게 사시네
[00:05:42 - 00:05:43]   오우
[00:05:43 - 00:05:44]   태오 씨
[00:05:44 - 00:05:45]   근데
[00:05:46 - 00:05:48]   재는 짓고 살지 맙시다
[00:05:49 - 00:05:50]   짠 할까요?
[00:05:57 - 00:05:59]   왜 안 나와서 그런다고
[00:06:01 - 00:06:02]   다 어렵습니다
[00:06:03 - 00:06:06]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:06 - 00:06:09]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:09 - 00:06:10]   그래서 내가 죽었나요?
[00:06:11 - 00:06:13]   안 죽었잖아
[00:06:16 - 00:06:17]   야
[00:06:18 - 00:06:19]   너 저거 갖고 싶구나
[00:06:21 - 00:06:22]   뭐
[00:06:23 - 00:06:24]   그래서
[00:06:24 - 00:06:25]   내 인기 얼마라고요?
[00:06:26 - 00:06:27]   아 네
[00:06:27 - 00:06:28]   저 순서대로 말씀드리면
[00:06:28 - 00:06:29]   아 미치겠다 미치겠다
[00:06:29 - 00:06:31]   총액만 불러요 총액만
[00:06:32 - 00:06:33]   자
[00:06:33 - 00:06:34]   고맙습니다 해야지
[00:06:34 - 00:06:36]   고맙습니다
[00:06:36 - 00:06:37]   아이고
[00:06:38 - 00:06:39]   불쌍해
[00:06:41 - 00:06:42]   좀 되는데요
[00:06:42 - 00:06:43]   420
[00:06:43 - 00:06:44]   4
[00:06:45 - 00:06:46]   420억?
[00:06:47 - 00:06:48]   아니요
[00:06:49 - 00:06:50]   420만?
[00:06:55 - 00:06:56]   기사님
[00:06:58 - 00:06:59]   맷돌 손잡이 알아요?
[00:07:01 - 00:07:03]   맷돌 손잡이를 어휘라 그래요 어휘
[00:07:04 - 00:07:06]   맷돌에 뭘 갈려고 집어넣고
[00:07:06 - 00:07:08]   맷돌을 돌리려고 하는데
[00:07:09 - 00:07:10]   손잡이가 빠졌네
[00:07:11 - 00:07:13]   이런 상황을 어이가 없다 그래요
[00:07:13 - 00:07:14]   황당하잖아
[00:07:14 - 00:07:17]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:18 - 00:07:20]   지금 내 기분이 그래
[00:07:21 - 00:07:22]   어이가 없네
