[00:00:00 - 00:00:02]   담배를 꺼내 아줌마 빨리
[00:03:42 - 00:03:44]   그냥 타고 가자 어?
[00:03:45 - 00:03:46]   빨리 갑시다
[00:03:47 - 00:03:48]   그래
[00:03:48 - 00:03:51]   니 친구들하고 같이 타고 가면 얼마나 좋아
[00:03:52 - 00:03:53]   가자
[00:03:54 - 00:03:58]   신진물산 부사장으로 승진하실 조태오 기획 조정실장
[00:03:58 - 00:04:00]   조태오 조태오
[00:04:00 - 00:04:02]   저 혹시 제가 아는 신진물산
[00:04:02 - 00:04:03]   아 왜 그러세요
[00:04:04 - 00:04:06]   모는 자리인데 그냥 잔판하게 받으세요
[00:04:06 - 00:04:08]   근데 윤사장으로는 어떻게 해야 돼
[00:04:09 - 00:04:12]   조실장 미국 유학생활 할 때 다혜랑 촬영 갔다 왔는데
[00:04:12 - 00:04:13]   신세 많이 졌지?
[00:04:14 - 00:04:16]   밥 한판 산 거 가지고
[00:04:17 - 00:04:19]   아시겠지만 나이 이제 훨씬 어려워
[00:04:22 - 00:04:24]   재벌하고 술을 다 마셔보고
[00:04:25 - 00:04:27]   근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:27 - 00:04:29]   야 근데 재벌은 좀 다르게 놀 줄 알았는데
[00:04:49 - 00:04:50]   그만해
[00:04:58 - 00:05:00]   재벌은 이렇게 놀아야 되나?
[00:05:08 - 00:05:09]   죄송합니다
[00:05:10 - 00:05:12]   재벌이 이렇게 밖에 못 놉니다
[00:05:12 - 00:05:14]   용서해 주십시오
[00:05:23 - 00:05:25]   아 우리 형사님 안 속으시네
[00:05:25 - 00:05:26]   베테랑이시네 베테랑
[00:05:27 - 00:05:28]   아 멋있다
[00:05:28 - 00:05:29]   창피해
[00:05:33 - 00:05:34]   아우 놀랐지
[00:05:36 - 00:05:39]   우리 할아버지가 사람은 간더미 보고 사기라 그랬거든요
[00:05:41 - 00:05:42]   윤사장
[00:05:42 - 00:05:44]   조태오 씨 재밌게 사시네
[00:05:47 - 00:05:48]   태오 씨
[00:05:48 - 00:05:49]   근데
[00:05:50 - 00:05:52]   재는 짓고 살지 맙시다
[00:05:54 - 00:05:55]   짠 할까요?
[00:05:58 - 00:05:59]   쉿
[00:06:01 - 00:06:02]   왜 안 나와서 그런다고
[00:06:04 - 00:06:05]   다 어렵습니다
[00:06:06 - 00:06:09]   나는 어릴 때부터 매년 올해 감기가 제일 지독하고
[00:06:09 - 00:06:12]   올해 감기가 잘 안 좋다는 말을 한 번도 안 빼먹고 들었어요
[00:06:13 - 00:06:14]   그래서 내가 죽었나요?
[00:06:16 - 00:06:17]   안 죽었잖아
[00:06:21 - 00:06:22]   야
[00:06:22 - 00:06:23]   너 저거 갖고 싶구나
[00:06:25 - 00:06:26]   뭐
[00:06:27 - 00:06:28]   그래서
[00:06:28 - 00:06:29]   내 인기 얼마라고요?
[00:06:30 - 00:06:32]   아 네 순서대로 말씀드리면
[00:06:33 - 00:06:35]   총액만 불러요 총액만
[00:06:37 - 00:06:38]   고맙습니다 해야지
[00:06:38 - 00:06:39]   고맙습니다
[00:06:42 - 00:06:43]   불쌍해
[00:06:45 - 00:06:46]   좀 되는데요
[00:06:46 - 00:06:47]   420
[00:06:47 - 00:06:48]   4?
[00:06:48 - 00:06:49]   420억?
[00:06:50 - 00:06:51]   아니요
[00:06:52 - 00:06:53]   420만?
[00:06:58 - 00:06:59]   기사님
[00:07:01 - 00:07:02]   맷돌 손잡이 알아요?
[00:07:04 - 00:07:06]   맷돌 손잡이를 어이라 그래요
[00:07:07 - 00:07:11]   맷돌에 뭘 갈려고 집어넣고 맷돌을 돌리려고 하는데
[00:07:12 - 00:07:13]   손잡이가 빠졌네
[00:07:14 - 00:07:16]   이런 상황을 어이가 없다 그래요
[00:07:17 - 00:07:18]   황당하잖아
[00:07:18 - 00:07:20]   아무것도 아닌 손잡이 때문에 해야 될 일을 못하니까
[00:07:22 - 00:07:23]   지금 내 기분이 그래
[00:07:25 - 00:07:26]   어이가 없네
[00:07:27 - 00:07:28]   어이가 없네
